chrom	start	end	set	tf	pop
1	77109433	77112433	SIGNIF	0.5	LWK
1	77110933	77113933	SIGNIF	0.5	LWK
1	78630433	78633433	SIGNIF	0.5	LWK
1	80290601	80293601	SIGNIF	0.5	LWK
1	80845601	80848601	SIGNIF	0.5	LWK
1	80847101	80850101	SIGNIF	0.5	LWK
1	81400601	81403601	SIGNIF	0.5	LWK
1	81402101	81405101	SIGNIF	0.5	LWK
1	81957170	81960170	SIGNIF	0.5	LWK
1	83145170	83148170	SIGNIF	0.5	LWK
1	83164670	83167670	SIGNIF	0.5	LWK
1	83166170	83169170	SIGNIF	0.5	LWK
1	86457087	86460087	SIGNIF	0.5	LWK
1	86458587	86461587	SIGNIF	0.5	LWK
1	86464587	86467587	SIGNIF	0.5	LWK
1	88476150	88479150	SIGNIF	0.5	LWK
1	91278143	91281143	SIGNIF	0.5	LWK
1	91284143	91287143	SIGNIF	0.5	LWK
1	91642643	91645643	SIGNIF	0.5	LWK
1	92095643	92098643	SIGNIF	0.5	LWK
1	92391143	92394143	SIGNIF	0.5	LWK
1	93520643	93523643	SIGNIF	0.5	LWK
1	94228650	94231650	SIGNIF	0.5	LWK
1	94230150	94233150	SIGNIF	0.5	LWK
1	94239150	94242150	SIGNIF	0.5	LWK
1	94240650	94243650	SIGNIF	0.5	LWK
1	94246650	94249650	SIGNIF	0.5	LWK
1	94248150	94251150	SIGNIF	0.5	LWK
1	94264650	94267650	SIGNIF	0.5	LWK
1	94444650	94447650	SIGNIF	0.5	LWK
1	94461150	94464150	SIGNIF	0.5	LWK
1	94465650	94468650	SIGNIF	0.5	LWK
1	94467150	94470150	SIGNIF	0.5	LWK
1	95149650	95152650	SIGNIF	0.5	LWK
1	96151650	96154650	SIGNIF	0.5	LWK
1	100149083	100152083	SIGNIF	0.5	LWK
1	100933583	100936583	SIGNIF	0.5	LWK
1	101031083	101034083	SIGNIF	0.5	LWK
1	102067583	102070583	SIGNIF	0.5	LWK
1	102069083	102072083	SIGNIF	0.5	LWK
1	102084083	102087083	SIGNIF	0.5	LWK
1	102085583	102088583	SIGNIF	0.5	LWK
1	102234083	102237083	SIGNIF	0.5	LWK
1	102235583	102238583	SIGNIF	0.5	LWK
1	102408083	102411083	SIGNIF	0.5	LWK
1	102814583	102817583	SIGNIF	0.5	LWK
1	102816083	102819083	SIGNIF	0.5	LWK
1	102828083	102831083	SIGNIF	0.5	LWK
1	102829583	102832583	SIGNIF	0.5	LWK
1	102834085	102837085	SIGNIF	0.5	LWK
1	103594585	103597585	SIGNIF	0.5	LWK
1	104713585	104716585	SIGNIF	0.5	LWK
1	105289585	105292585	SIGNIF	0.5	LWK
1	105499585	105502585	SIGNIF	0.5	LWK
1	105501085	105504085	SIGNIF	0.5	LWK
1	105790585	105793585	SIGNIF	0.5	LWK
1	105940068	105943068	SIGNIF	0.5	LWK
1	106115568	106118568	SIGNIF	0.5	LWK
1	106720068	106723068	SIGNIF	0.5	LWK
1	106724568	106727568	SIGNIF	0.5	LWK
1	106739568	106742568	SIGNIF	0.5	LWK
1	107563068	107566068	SIGNIF	0.5	LWK
1	108079068	108082068	SIGNIF	0.5	LWK
1	108083568	108086568	SIGNIF	0.5	LWK
1	108085068	108088068	SIGNIF	0.5	LWK
1	108242568	108245568	SIGNIF	0.5	LWK
1	108500568	108503568	SIGNIF	0.5	LWK
1	108565068	108568068	SIGNIF	0.5	LWK
1	108653568	108656568	SIGNIF	0.5	LWK
1	108695568	108698568	SIGNIF	0.5	LWK
1	109366525	109369525	SIGNIF	0.5	LWK
1	111580525	111583525	SIGNIF	0.5	LWK
1	111582025	111585025	SIGNIF	0.5	LWK
1	111583525	111586525	SIGNIF	0.5	LWK
1	111795025	111798025	SIGNIF	0.5	LWK
1	111906306	111909306	SIGNIF	0.5	LWK
1	114526806	114529806	SIGNIF	0.5	LWK
1	114528306	114531306	SIGNIF	0.5	LWK
1	116089603	116092603	SIGNIF	0.5	LWK
1	116730103	116733103	SIGNIF	0.5	LWK
1	116731603	116734603	SIGNIF	0.5	LWK
1	116733103	116736103	SIGNIF	0.5	LWK
1	116734603	116737603	SIGNIF	0.5	LWK
1	116736103	116739103	SIGNIF	0.5	LWK
1	116737603	116740603	SIGNIF	0.5	LWK
1	116739103	116742103	SIGNIF	0.5	LWK
1	117472603	117475603	SIGNIF	0.5	LWK
1	117873092	117876092	SIGNIF	0.5	LWK
1	118354592	118357592	SIGNIF	0.5	LWK
1	118356092	118359092	SIGNIF	0.5	LWK
1	120084092	120087092	SIGNIF	0.5	LWK
1	120085592	120088592	SIGNIF	0.5	LWK
1	120087092	120090092	SIGNIF	0.5	LWK
1	120331592	120334592	SIGNIF	0.5	LWK
1	120333092	120336092	SIGNIF	0.5	LWK
1	120334592	120337592	SIGNIF	0.5	LWK
1	152607210	152610210	SIGNIF	0.5	LWK
1	152689710	152692710	SIGNIF	0.5	LWK
1	152691210	152694210	SIGNIF	0.5	LWK
1	152692710	152695710	SIGNIF	0.5	LWK
1	152694210	152697210	SIGNIF	0.5	LWK
1	152964210	152967210	SIGNIF	0.5	LWK
1	152970210	152973210	SIGNIF	0.5	LWK
1	152971710	152974710	SIGNIF	0.5	LWK
1	152973210	152976210	SIGNIF	0.5	LWK
1	152974710	152977710	SIGNIF	0.5	LWK
1	152982210	152985210	SIGNIF	0.5	LWK
1	152983710	152986710	SIGNIF	0.5	LWK
1	152985210	152988210	SIGNIF	0.5	LWK
1	153001710	153004710	SIGNIF	0.5	LWK
1	153003210	153006210	SIGNIF	0.5	LWK
1	153004710	153007710	SIGNIF	0.5	LWK
1	153133710	153136710	SIGNIF	0.5	LWK
1	153469710	153472710	SIGNIF	0.5	LWK
1	157194269	157197269	SIGNIF	0.5	LWK
1	157195769	157198769	SIGNIF	0.5	LWK
1	157203269	157206269	SIGNIF	0.5	LWK
1	157204769	157207769	SIGNIF	0.5	LWK
1	157594769	157597769	SIGNIF	0.5	LWK
1	157596269	157599269	SIGNIF	0.5	LWK
1	157597769	157600769	SIGNIF	0.5	LWK
1	158158769	158161769	SIGNIF	0.5	LWK
1	158196269	158199269	SIGNIF	0.5	LWK
1	158344769	158347769	SIGNIF	0.5	LWK
1	158350769	158353769	SIGNIF	0.5	LWK
1	158463269	158466269	SIGNIF	0.5	LWK
1	158496269	158499269	SIGNIF	0.5	LWK
1	158497769	158500769	SIGNIF	0.5	LWK
1	158713769	158716769	SIGNIF	0.5	LWK
1	158733269	158736269	SIGNIF	0.5	LWK
1	158841269	158844269	SIGNIF	0.5	LWK
1	158943269	158946269	SIGNIF	0.5	LWK
1	159000269	159003269	SIGNIF	0.5	LWK
1	159987091	159990091	SIGNIF	0.5	LWK
1	160404091	160407091	SIGNIF	0.5	LWK
1	160536091	160539091	SIGNIF	0.5	LWK
1	162030091	162033091	SIGNIF	0.5	LWK
1	162835591	162838591	SIGNIF	0.5	LWK
1	166732617	166735617	SIGNIF	0.5	LWK
1	167524617	167527617	SIGNIF	0.5	LWK
1	170832093	170835093	SIGNIF	0.5	LWK
1	171799593	171802593	SIGNIF	0.5	LWK
1	179449820	179452820	SIGNIF	0.5	LWK
1	179451320	179454320	SIGNIF	0.5	LWK
1	179452820	179455820	SIGNIF	0.5	LWK
1	179686820	179689820	SIGNIF	0.5	LWK
1	181159632	181162632	SIGNIF	0.5	LWK
1	181180632	181183632	SIGNIF	0.5	LWK
1	181183632	181186632	SIGNIF	0.5	LWK
1	181185132	181188132	SIGNIF	0.5	LWK
1	181203132	181206132	SIGNIF	0.5	LWK
1	182508132	182511132	SIGNIF	0.5	LWK
1	183094632	183097632	SIGNIF	0.5	LWK
1	183154632	183157632	SIGNIF	0.5	LWK
1	183156132	183159132	SIGNIF	0.5	LWK
1	183159132	183162132	SIGNIF	0.5	LWK
1	183160632	183163632	SIGNIF	0.5	LWK
1	183297132	183300132	SIGNIF	0.5	LWK
1	183558132	183561132	SIGNIF	0.5	LWK
1	183561132	183564132	SIGNIF	0.5	LWK
1	183579132	183582132	SIGNIF	0.5	LWK
1	183580632	183583632	SIGNIF	0.5	LWK
1	185526276	185529276	SIGNIF	0.5	LWK
1	185527776	185530776	SIGNIF	0.5	LWK
1	185566776	185569776	SIGNIF	0.5	LWK
1	185568276	185571276	SIGNIF	0.5	LWK
1	187752116	187755116	SIGNIF	0.5	LWK
1	187753616	187756616	SIGNIF	0.5	LWK
1	188299616	188302616	SIGNIF	0.5	LWK
1	188319116	188322116	SIGNIF	0.5	LWK
1	188322116	188325116	SIGNIF	0.5	LWK
1	188323616	188326616	SIGNIF	0.5	LWK
1	188325116	188328116	SIGNIF	0.5	LWK
1	188326616	188329616	SIGNIF	0.5	LWK
1	188445116	188448116	SIGNIF	0.5	LWK
1	188835116	188838116	SIGNIF	0.5	LWK
1	188863616	188866616	SIGNIF	0.5	LWK
1	188865116	188868116	SIGNIF	0.5	LWK
1	188866616	188869616	SIGNIF	0.5	LWK
1	189643616	189646616	SIGNIF	0.5	LWK
1	192430612	192433612	SIGNIF	0.5	LWK
1	192582112	192585112	SIGNIF	0.5	LWK
1	192583612	192586612	SIGNIF	0.5	LWK
1	193870729	193873729	SIGNIF	0.5	LWK
1	194379229	194382229	SIGNIF	0.5	LWK
1	194385229	194388229	SIGNIF	0.5	LWK
1	194386729	194389729	SIGNIF	0.5	LWK
1	194388229	194391229	SIGNIF	0.5	LWK
1	194389729	194392729	SIGNIF	0.5	LWK
1	195057229	195060229	SIGNIF	0.5	LWK
1	195085729	195088729	SIGNIF	0.5	LWK
1	195087229	195090229	SIGNIF	0.5	LWK
1	195088729	195091729	SIGNIF	0.5	LWK
1	195093229	195096229	SIGNIF	0.5	LWK
1	195799729	195802729	SIGNIF	0.5	LWK
1	195801229	195804229	SIGNIF	0.5	LWK
1	195802729	195805729	SIGNIF	0.5	LWK
1	195804229	195807229	SIGNIF	0.5	LWK
1	195819229	195822229	SIGNIF	0.5	LWK
1	195820729	195823729	SIGNIF	0.5	LWK
1	195822229	195825229	SIGNIF	0.5	LWK
1	195823729	195826729	SIGNIF	0.5	LWK
1	195825229	195828229	SIGNIF	0.5	LWK
1	195826729	195829729	SIGNIF	0.5	LWK
1	195834107	195837107	SIGNIF	0.5	LWK
1	195835607	195838607	SIGNIF	0.5	LWK
1	195913607	195916607	SIGNIF	0.5	LWK
1	195915107	195918107	SIGNIF	0.5	LWK
1	196842107	196845107	SIGNIF	0.5	LWK
1	199602126	199605126	SIGNIF	0.5	LWK
1	200692626	200695626	SIGNIF	0.5	LWK
1	201217626	201220626	SIGNIF	0.5	LWK
1	201472626	201475626	SIGNIF	0.5	LWK
1	201943622	201946622	SIGNIF	0.5	LWK
1	201945122	201948122	SIGNIF	0.5	LWK
1	201952622	201955622	SIGNIF	0.5	LWK
1	204283622	204286622	SIGNIF	0.5	LWK
1	204285122	204288122	SIGNIF	0.5	LWK
1	204792122	204795122	SIGNIF	0.5	LWK
1	204904645	204907645	SIGNIF	0.5	LWK
1	204906145	204909145	SIGNIF	0.5	LWK
1	205018645	205021645	SIGNIF	0.5	LWK
1	205374145	205377145	SIGNIF	0.5	LWK
1	205407145	205410145	SIGNIF	0.5	LWK
1	205507645	205510645	SIGNIF	0.5	LWK
1	211703153	211706153	SIGNIF	0.5	LWK
1	211704653	211707653	SIGNIF	0.5	LWK
1	213036653	213039653	SIGNIF	0.5	LWK
1	213051653	213054653	SIGNIF	0.5	LWK
1	214762597	214765597	SIGNIF	0.5	LWK
1	215860597	215863597	SIGNIF	0.5	LWK
1	217587167	217590167	SIGNIF	0.5	LWK
1	220128340	220131340	SIGNIF	0.5	LWK
1	220141840	220144840	SIGNIF	0.5	LWK
1	220495840	220498840	SIGNIF	0.5	LWK
1	220497340	220500340	SIGNIF	0.5	LWK
1	221470840	221473840	SIGNIF	0.5	LWK
1	221472340	221475340	SIGNIF	0.5	LWK
1	221820340	221823340	SIGNIF	0.5	LWK
1	222712840	222715840	SIGNIF	0.5	LWK
1	223638245	223641245	SIGNIF	0.5	LWK
1	223639745	223642745	SIGNIF	0.5	LWK
1	224257745	224260745	SIGNIF	0.5	LWK
1	224259245	224262245	SIGNIF	0.5	LWK
1	224274245	224277245	SIGNIF	0.5	LWK
1	224275745	224278745	SIGNIF	0.5	LWK
1	226635104	226638104	SIGNIF	0.5	LWK
1	226636604	226639604	SIGNIF	0.5	LWK
1	227389604	227392604	SIGNIF	0.5	LWK
1	227502104	227505104	SIGNIF	0.5	LWK
1	228964673	228967673	SIGNIF	0.5	LWK
1	228966173	228969173	SIGNIF	0.5	LWK
1	228967673	228970673	SIGNIF	0.5	LWK
1	229240673	229243673	SIGNIF	0.5	LWK
1	230500673	230503673	SIGNIF	0.5	LWK
1	230502173	230505173	SIGNIF	0.5	LWK
1	230503673	230506673	SIGNIF	0.5	LWK
1	230505173	230508173	SIGNIF	0.5	LWK
1	231729173	231732173	SIGNIF	0.5	LWK
1	232275088	232278088	SIGNIF	0.5	LWK
1	233022088	233025088	SIGNIF	0.5	LWK
1	233488588	233491588	SIGNIF	0.5	LWK
1	233520088	233523088	SIGNIF	0.5	LWK
1	233521588	233524588	SIGNIF	0.5	LWK
1	234130588	234133588	SIGNIF	0.5	LWK
1	234132088	234135088	SIGNIF	0.5	LWK
1	234165088	234168088	SIGNIF	0.5	LWK
1	234406588	234409588	SIGNIF	0.5	LWK
1	234408088	234411088	SIGNIF	0.5	LWK
1	234409588	234412588	SIGNIF	0.5	LWK
1	236383632	236386632	SIGNIF	0.5	LWK
1	236476632	236479632	SIGNIF	0.5	LWK
1	236478132	236481132	SIGNIF	0.5	LWK
1	236518632	236521632	SIGNIF	0.5	LWK
1	236520132	236523132	SIGNIF	0.5	LWK
1	236524632	236527632	SIGNIF	0.5	LWK
1	236526132	236529132	SIGNIF	0.5	LWK
1	236532132	236535132	SIGNIF	0.5	LWK
1	236589132	236592132	SIGNIF	0.5	LWK
1	236698632	236701632	SIGNIF	0.5	LWK
1	236700132	236703132	SIGNIF	0.5	LWK
1	236701632	236704632	SIGNIF	0.5	LWK
1	236706132	236709132	SIGNIF	0.5	LWK
1	236707632	236710632	SIGNIF	0.5	LWK
1	236709132	236712132	SIGNIF	0.5	LWK
1	236745132	236748132	SIGNIF	0.5	LWK
1	237615132	237618132	SIGNIF	0.5	LWK
1	237684132	237687132	SIGNIF	0.5	LWK
1	237739632	237742632	SIGNIF	0.5	LWK
1	237741132	237744132	SIGNIF	0.5	LWK
1	237742632	237745632	SIGNIF	0.5	LWK
1	237982627	237985627	SIGNIF	0.5	LWK
1	238414627	238417627	SIGNIF	0.5	LWK
1	238416127	238419127	SIGNIF	0.5	LWK
1	238471627	238474627	SIGNIF	0.5	LWK
1	238474627	238477627	SIGNIF	0.5	LWK
1	238627627	238630627	SIGNIF	0.5	LWK
1	238629127	238632127	SIGNIF	0.5	LWK
1	238852627	238855627	SIGNIF	0.5	LWK
1	239214127	239217127	SIGNIF	0.5	LWK
1	240178627	240181627	SIGNIF	0.5	LWK
1	240217627	240220627	SIGNIF	0.5	LWK
1	240219127	240222127	SIGNIF	0.5	LWK
1	240220627	240223627	SIGNIF	0.5	LWK
1	240597127	240600127	SIGNIF	0.5	LWK
1	240601627	240604627	SIGNIF	0.5	LWK
1	241291656	241294656	SIGNIF	0.5	LWK
1	241530156	241533156	SIGNIF	0.5	LWK
1	242382156	242385156	SIGNIF	0.5	LWK
1	242404656	242407656	SIGNIF	0.5	LWK
1	245572860	245575860	SIGNIF	0.5	LWK
1	246378360	246381360	SIGNIF	0.5	LWK
1	246379860	246382860	SIGNIF	0.5	LWK
1	246381360	246384360	SIGNIF	0.5	LWK
1	246387360	246390360	SIGNIF	0.5	LWK
1	246388860	246391860	SIGNIF	0.5	LWK
1	246397860	246400860	SIGNIF	0.5	LWK
1	246409860	246412860	SIGNIF	0.5	LWK
1	246415860	246418860	SIGNIF	0.5	LWK
1	246417360	246420360	SIGNIF	0.5	LWK
1	246432360	246435360	SIGNIF	0.5	LWK
1	246666360	246669360	SIGNIF	0.5	LWK
1	246711360	246714360	SIGNIF	0.5	LWK
1	246712860	246715860	SIGNIF	0.5	LWK
1	247615756	247618756	SIGNIF	0.5	LWK
1	247621756	247624756	SIGNIF	0.5	LWK
1	247623256	247626256	SIGNIF	0.5	LWK
1	247624756	247627756	SIGNIF	0.5	LWK
1	247626256	247629256	SIGNIF	0.5	LWK
1	247815256	247818256	SIGNIF	0.5	LWK
1	247945756	247948756	SIGNIF	0.5	LWK
1	247953256	247956256	SIGNIF	0.5	LWK
1	248865256	248868256	SIGNIF	0.5	LWK
2	616056	619056	SIGNIF	0.5	LWK
2	617556	620556	SIGNIF	0.5	LWK
2	1115556	1118556	SIGNIF	0.5	LWK
2	1117056	1120056	SIGNIF	0.5	LWK
2	1138056	1141056	SIGNIF	0.5	LWK
2	1141056	1144056	SIGNIF	0.5	LWK
2	1237056	1240056	SIGNIF	0.5	LWK
2	1238556	1241556	SIGNIF	0.5	LWK
2	1259556	1262556	SIGNIF	0.5	LWK
2	1360056	1363056	SIGNIF	0.5	LWK
2	1361556	1364556	SIGNIF	0.5	LWK
2	1363056	1366056	SIGNIF	0.5	LWK
2	1364556	1367556	SIGNIF	0.5	LWK
2	1367556	1370556	SIGNIF	0.5	LWK
2	1369056	1372056	SIGNIF	0.5	LWK
2	1640556	1643556	SIGNIF	0.5	LWK
2	2606556	2609556	SIGNIF	0.5	LWK
2	4859526	4862526	SIGNIF	0.5	LWK
2	4861026	4864026	SIGNIF	0.5	LWK
2	5972526	5975526	SIGNIF	0.5	LWK
2	6278600	6281600	SIGNIF	0.5	LWK
2	6332600	6335600	SIGNIF	0.5	LWK
2	7630100	7633100	SIGNIF	0.5	LWK
2	8728100	8731100	SIGNIF	0.5	LWK
2	10367577	10370577	SIGNIF	0.5	LWK
2	10669077	10672077	SIGNIF	0.5	LWK
2	10670577	10673577	SIGNIF	0.5	LWK
2	11018577	11021577	SIGNIF	0.5	LWK
2	11834577	11837577	SIGNIF	0.5	LWK
2	12950527	12953527	SIGNIF	0.5	LWK
2	13817527	13820527	SIGNIF	0.5	LWK
2	13819027	13822027	SIGNIF	0.5	LWK
2	15538065	15541065	SIGNIF	0.5	LWK
2	15595065	15598065	SIGNIF	0.5	LWK
2	15596565	15599565	SIGNIF	0.5	LWK
2	15836565	15839565	SIGNIF	0.5	LWK
2	16435065	16438065	SIGNIF	0.5	LWK
2	16661565	16664565	SIGNIF	0.5	LWK
2	17059065	17062065	SIGNIF	0.5	LWK
2	17477565	17480565	SIGNIF	0.5	LWK
2	17978565	17981565	SIGNIF	0.5	LWK
2	17987565	17990565	SIGNIF	0.5	LWK
2	17989065	17992065	SIGNIF	0.5	LWK
2	18262129	18265129	SIGNIF	0.5	LWK
2	18263629	18266629	SIGNIF	0.5	LWK
2	18265129	18268129	SIGNIF	0.5	LWK
2	18269629	18272629	SIGNIF	0.5	LWK
2	18271129	18274129	SIGNIF	0.5	LWK
2	18275629	18278629	SIGNIF	0.5	LWK
2	18277129	18280129	SIGNIF	0.5	LWK
2	18589129	18592129	SIGNIF	0.5	LWK
2	18590629	18593629	SIGNIF	0.5	LWK
2	18592129	18595129	SIGNIF	0.5	LWK
2	18593629	18596629	SIGNIF	0.5	LWK
2	18595129	18598129	SIGNIF	0.5	LWK
2	18596629	18599629	SIGNIF	0.5	LWK
2	18598129	18601129	SIGNIF	0.5	LWK
2	18599629	18602629	SIGNIF	0.5	LWK
2	18604129	18607129	SIGNIF	0.5	LWK
2	18605629	18608629	SIGNIF	0.5	LWK
2	18607129	18610129	SIGNIF	0.5	LWK
2	18658129	18661129	SIGNIF	0.5	LWK
2	18679129	18682129	SIGNIF	0.5	LWK
2	19792129	19795129	SIGNIF	0.5	LWK
2	19916629	19919629	SIGNIF	0.5	LWK
2	28819950	28822950	SIGNIF	0.5	LWK
2	29173950	29176950	SIGNIF	0.5	LWK
2	30116630	30119630	SIGNIF	0.5	LWK
2	30478130	30481130	SIGNIF	0.5	LWK
2	31211630	31214630	SIGNIF	0.5	LWK
2	31270130	31273130	SIGNIF	0.5	LWK
2	31397630	31400630	SIGNIF	0.5	LWK
2	31409630	31412630	SIGNIF	0.5	LWK
2	31411130	31414130	SIGNIF	0.5	LWK
2	31502630	31505630	SIGNIF	0.5	LWK
2	31507130	31510130	SIGNIF	0.5	LWK
2	33403103	33406103	SIGNIF	0.5	LWK
2	33404603	33407603	SIGNIF	0.5	LWK
2	33406103	33409103	SIGNIF	0.5	LWK
2	34139603	34142603	SIGNIF	0.5	LWK
2	34145603	34148603	SIGNIF	0.5	LWK
2	34147103	34150103	SIGNIF	0.5	LWK
2	34184603	34187603	SIGNIF	0.5	LWK
2	35869103	35872103	SIGNIF	0.5	LWK
2	35870603	35873603	SIGNIF	0.5	LWK
2	35875103	35878103	SIGNIF	0.5	LWK
2	35876603	35879603	SIGNIF	0.5	LWK
2	35878103	35881103	SIGNIF	0.5	LWK
2	35879603	35882603	SIGNIF	0.5	LWK
2	35881103	35884103	SIGNIF	0.5	LWK
2	35882603	35885603	SIGNIF	0.5	LWK
2	35884103	35887103	SIGNIF	0.5	LWK
2	35887103	35890103	SIGNIF	0.5	LWK
2	35933603	35936603	SIGNIF	0.5	LWK
2	35935103	35938103	SIGNIF	0.5	LWK
2	35936603	35939603	SIGNIF	0.5	LWK
2	36926529	36929529	SIGNIF	0.5	LWK
2	36928029	36931029	SIGNIF	0.5	LWK
2	38054529	38057529	SIGNIF	0.5	LWK
2	38056029	38059029	SIGNIF	0.5	LWK
2	38057529	38060529	SIGNIF	0.5	LWK
2	38059029	38062029	SIGNIF	0.5	LWK
2	38060529	38063529	SIGNIF	0.5	LWK
2	38062029	38065029	SIGNIF	0.5	LWK
2	38063529	38066529	SIGNIF	0.5	LWK
2	38482029	38485029	SIGNIF	0.5	LWK
2	38686029	38689029	SIGNIF	0.5	LWK
2	40115804	40118804	SIGNIF	0.5	LWK
2	40868804	40871804	SIGNIF	0.5	LWK
2	41939804	41942804	SIGNIF	0.5	LWK
2	41963804	41966804	SIGNIF	0.5	LWK
2	41965304	41968304	SIGNIF	0.5	LWK
2	42241024	42244024	SIGNIF	0.5	LWK
2	42242524	42245524	SIGNIF	0.5	LWK
2	42263524	42266524	SIGNIF	0.5	LWK
2	42304024	42307024	SIGNIF	0.5	LWK
2	45203539	45206539	SIGNIF	0.5	LWK
2	45205039	45208039	SIGNIF	0.5	LWK
2	45206539	45209539	SIGNIF	0.5	LWK
2	45208039	45211039	SIGNIF	0.5	LWK
2	45209539	45212539	SIGNIF	0.5	LWK
2	45211039	45214039	SIGNIF	0.5	LWK
2	46327039	46330039	SIGNIF	0.5	LWK
2	52721523	52724523	SIGNIF	0.5	LWK
2	52753023	52756023	SIGNIF	0.5	LWK
2	52877523	52880523	SIGNIF	0.5	LWK
2	52897023	52900023	SIGNIF	0.5	LWK
2	53053023	53056023	SIGNIF	0.5	LWK
2	53057523	53060523	SIGNIF	0.5	LWK
2	57440596	57443596	SIGNIF	0.5	LWK
2	68029008	68032008	SIGNIF	0.5	LWK
2	68173008	68176008	SIGNIF	0.5	LWK
2	69215524	69218524	SIGNIF	0.5	LWK
2	69224524	69227524	SIGNIF	0.5	LWK
2	69226024	69229024	SIGNIF	0.5	LWK
2	70639024	70642024	SIGNIF	0.5	LWK
2	70943524	70946524	SIGNIF	0.5	LWK
2	71048524	71051524	SIGNIF	0.5	LWK
2	71050024	71053024	SIGNIF	0.5	LWK
2	71051524	71054524	SIGNIF	0.5	LWK
2	71053024	71056024	SIGNIF	0.5	LWK
2	74968147	74971147	SIGNIF	0.5	LWK
2	75559453	75562453	SIGNIF	0.5	LWK
2	76742953	76745953	SIGNIF	0.5	LWK
2	77221453	77224453	SIGNIF	0.5	LWK
2	77480953	77483953	SIGNIF	0.5	LWK
2	77963953	77966953	SIGNIF	0.5	LWK
2	79141061	79144061	SIGNIF	0.5	LWK
2	79225061	79228061	SIGNIF	0.5	LWK
