ensg_id	hgnc_symbol	gene_name_primary	gene_names_all	uniprot_accession	enst_id	chrom_hg38	start_hg38	end_hg38	strand_hg38	chrom_hg19	start_hg19	end_hg19	strand_hg19
ENSG00000004809	SLC22A16	SLC22A16	SLC22A16 OCT6	Q86VW1	ENST00000368919;ENST00000330550	6	110424687	110476681	-1	6	110745890.0	110797844.0	-1.0
ENSG00000004846	ABCB5	ABCB5	ABCB5	Q2M3G0	ENST00000404938;ENST00000443026;ENST00000406935;ENST00000258738	7	20615667	20777038	1	7	20654830.0	20816658.0	1.0
ENSG00000004866	ST7	ST7	ST7 FAM4A1 HELG RAY1	Q9NRC1	ENST00000265437;ENST00000393451;ENST00000393443	7	116952980	117230812	1	7	116593292.0	116870157.0	1.0
ENSG00000004939	SLC4A1	SLC4A1	SLC4A1 AE1 DI EPB3	P02730	ENST00000262418	17	44248390	44268141	-1	17	42325753.0	42345509.0	-1.0
ENSG00000004948	CALCR	CALCR	CALCR	P30988	ENST00000426151;ENST00000649521;ENST00000394441;ENST00000415529;ENST00000423724	7	93424486	93575738	-1	7	93053799.0	93204042.0	-1.0
ENSG00000005001	PRSS22	PRSS22	PRSS22 BSSP4 PRSS26 SP001LA UNQ302/PRO343	Q9GZN4	ENST00000161006	16	2852728	2858210	-1	16	2902728.0	2908171.0	-1.0
ENSG00000005108	THSD7A	THSD7A	THSD7A KIAA0960	Q9UPZ6	ENST00000423059	7	11370365	11832198	-1	7	11409984.0	11871824.0	-1.0
ENSG00000005206	SPPL2B	SPPL2B	SPPL2B IMP4 KIAA1532 PSL1	Q8TCT7	ENST00000613503;ENST00000610743;ENST00000618220	19	2328613	2355095	1				
ENSG00000005381	MPO	MPO	MPO	P05164	ENST00000225275	17	58269855	58280935	-1	17	56347217.0	56358296.0	-1.0
ENSG00000005421	PON1	PON1	PON1 PON	P27169	ENST00000222381	7	95297173	95324710	-1	7	94926988.0	95025673.0	-1.0
ENSG00000005471	ABCB4	ABCB4	ABCB4 MDR3 PGY3	P21439	ENST00000649586;ENST00000265723;ENST00000359206;ENST00000453593	7	87401696	87480435	-1	7	87031013.0	87109751.0	-1.0
ENSG00000005483	KMT2E	KMT2E	KMT2E MLL5	Q8IZD2	ENST00000334884;ENST00000473063;ENST00000311117;ENST00000474203;ENST00000476671;ENST00000478079	7	104940943	105115019	1	7	104654626.0	104754808.0	1.0
ENSG00000005844	ITGAL	ITGAL	ITGAL CD11A	P20701	ENST00000358164;ENST00000356798	16	30472658	30523567	1	16	30483979.0	30534506.0	1.0
ENSG00000005884	ITGA3	ITGA3	ITGA3 MSK18	P26006	ENST00000320031;ENST00000007722	17	50055968	50090485	1	17	48133332.0	48167845.0	1.0
ENSG00000005893	LAMP2	LAMP2	LAMP2	P13473	ENST00000200639;ENST00000434600;ENST00000371335	X	120426148	120469365	-1	X	119561682.0	119603220.0	-1.0
ENSG00000005961	ITGA2B	ITGA2B	ITGA2B GP2B ITGAB	P08514	ENST00000262407	17	44372177	44389649	-1	17	42449548.0	42466873.0	-1.0
ENSG00000006007	GDE1	GDE1	GDE1 MIR16	Q9NZC3	ENST00000353258	16	19501693	19522123	-1	16	19513015.0	19533467.0	-1.0
ENSG00000006016	CRLF1	CRLF1	CRLF1 UNQ288/PRO327	O75462	ENST00000392386	19	18572220	18607741	-1	19	18683030.0	18718551.0	-1.0
ENSG00000006071	ABCC8	ABCC8	ABCC8 HRINS SUR SUR1	Q09428	ENST00000302539;ENST00000389817;ENST00000684593;ENST00000644542	11	17392498	17476894	-1				
ENSG00000006118	TMEM132A	TMEM132A	TMEM132A HSPA5BP1 KIAA1583	Q24JP5	ENST00000453848;ENST00000005286	11	60924460	60937159	1	11	60691935.0	60704631.0	1.0
ENSG00000006210	CX3CL1	CX3CL1	CX3CL1 FKN NTT SCYD1 A-152E5.2	P78423	ENST00000006053	16	57372477	57385044	1	16	57406370.0	57418960.0	1.0
ENSG00000006283	CACNA1G	CACNA1G	CACNA1G KIAA1123	O43497	ENST00000360761;ENST00000352832;ENST00000442258;ENST00000502264;ENST00000512389;ENST00000513964;ENST00000514717;ENST00000510366;ENST00000503485;ENST00000507510;ENST00000511765;ENST00000507336;ENST00000506406;ENST00000504076;ENST00000513689;ENST00000507609;ENST00000503436;ENST00000510115;ENST00000515165;ENST00000514181;ENST00000515765;ENST00000514079;ENST00000507896;ENST00000511768;ENST00000505165;ENST00000503607;ENST00000515411;ENST00000429973;ENST00000359106;ENST00000358244;ENST00000354983	17	50560715	50627474	1	17	48638429.0	48704835.0	1.0
ENSG00000006451	RALA	RALA	RALA RAL	P11233	ENST00000005257	7	39623445	39708124	1	7	39663082.0	39747723.0	1.0
ENSG00000006576	PHTF2	PHTF2	PHTF2	Q8N3S3	ENST00000422959;ENST00000416283;ENST00000307305;ENST00000424760;ENST00000415251;ENST00000275575;ENST00000450574;ENST00000248550	7	77798761	77957503	1	7	77428122.0	77586818.0	1.0
ENSG00000006638	TBXA2R	TBXA2R	TBXA2R	P21731	ENST00000375190;ENST00000411851	19	3594506	3606895	-1	19	3594504.0	3606838.0	-1.0
ENSG00000006756	ARSD	ARSD	ARSD	P51689	ENST00000381154	X	2903972	2929405	-1	X	2822011.0	2847392.0	-1.0
ENSG00000007038	PRSS21	PRSS21	PRSS21 ESP1 TEST1 UNQ266/PRO303	Q9Y6M0	ENST00000450020;ENST00000005995	16	2817180	2826304	1	16	2867164.0	2876305.0	1.0
ENSG00000007062	PROM1	PROM1	PROM1 PROML1 MSTP061	O43490	ENST00000447510;ENST00000505450;ENST00000508167;ENST00000510224;ENST00000539194;ENST00000540805;ENST00000675613;ENST00000675377	4	15963076	16084378	-1	4	15964699.0	16086001.0	-1.0
ENSG00000007129	CEACAM21	CEACAM21	CEACAM21 UNQ3098/PRO10075	Q3KPI0	ENST00000401445;ENST00000457737;ENST00000187608	19	41549518	41586844	1	19	42055886.0	42093197.0	1.0
ENSG00000007202	BLTP2	BLTP2	BLTP2 BCOX1 KIAA0100	Q14667	ENST00000528896	17	28614440	28645454	-1	17	26941458.0	26972472.0	-1.0
ENSG00000007306	CEACAM7	CEACAM7	CEACAM7 CGM2	Q14002	ENST00000401731;ENST00000006724;ENST00000602225	19	41673298	41706976	-1	19	42177235.0	42210895.0	-1.0
ENSG00000007312	CD79B	CD79B	CD79B B29 IGB	P40259	ENST00000006750;ENST00000392795;ENST00000349817	17	63928738	63932629	-1	17	62006100.0	62009714.0	-1.0
ENSG00000007314	SCN4A	SCN4A	SCN4A	P35499	ENST00000435607	17	63938554	63972918	-1	17	62015914.0	62050278.0	-1.0
ENSG00000007384	RHBDF1	RHBDF1	RHBDF1 C16orf8 DIST1 IRHOM1	Q96CC6	ENST00000262316	16	58058	78176	-1	16	108058.0	126354.0	-1.0
ENSG00000007402	CACNA2D2	CACNA2D2	CACNA2D2 KIAA0558	Q9NY47	ENST00000424201;ENST00000266039;ENST00000360963;ENST00000479441	3	50362613	50504244	-1	3	50400233.0	50541675.0	-1.0
ENSG00000007908	SELE	SELE	SELE ELAM1	P16581	ENST00000333360	1	169722640	169764705	-1	1	169691781.0	169733846.0	-1.0
ENSG00000007952	NOX1	NOX1	NOX1 MOX1 NOH1	Q9Y5S8	ENST00000372966;ENST00000217885	X	100843324	100874464	-1	X	100098313.0	100129334.0	-1.0
ENSG00000008018	PSMB1	PSMB1	PSMB1 PSC5	P20618	ENST00000262193	6	170535116	170553327	-1	6	170844205.0	170862429.0	-1.0
ENSG00000008056	SYN1	SYN1	SYN1	P17600	ENST00000295987;ENST00000340666	X	47571901	47619858	-1	X	47431303.0	47479252.0	-1.0
ENSG00000008277	ADAM22	ADAM22	ADAM22 MDC2	Q9P0K1	ENST00000398204;ENST00000398201;ENST00000265727;ENST00000398209;ENST00000684002	7	87934136	88202889	1	7	87563458.0	87832204.0	1.0
ENSG00000008282	SYPL1	SYPL1	SYPL1 SYPL	Q16563	ENST00000455385;ENST00000011473	7	106090500	106112589	-1	7	105730949.0	105753022.0	-1.0
ENSG00000008300	CELSR3	CELSR3	CELSR3 CDHF11 EGFL1 FMI1 KIAA0812 MEGF2	Q9NYQ7	ENST00000164024	3	48636463	48662886	-1	3	48673902.0	48700348.0	-1.0
ENSG00000008438	PGLYRP1	PGLYRP1	PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269	O75594	ENST00000008938	19	46019153	46023053	-1				
ENSG00000008513	ST3GAL1	ST3GAL1	ST3GAL1 SIAT4 SIAT4A	Q11201	ENST00000522652;ENST00000521180;ENST00000648219	8	133454848	133572518	-1				
ENSG00000008516	MMP25	MMP25	MMP25 MMP20 MMPL1 MT6MMP	Q9NPA2	ENST00000336577;ENST00000850602	16	3046062	3060729	1	16	3096682.0	3110727.0	1.0
ENSG00000008710	PKD1	PKD1	PKD1	P98161	ENST00000262304;ENST00000423118	16	2088708	2135898	-1	16	2138711.0	2185899.0	-1.0
ENSG00000009694	TENM1	TENM1	TENM1 ODZ1 TNM1	Q9UKZ4	ENST00000371130;ENST00000422452	X	124375903	125204312	-1	X	123509753.0	124097666.0	-1.0
ENSG00000009830	POMT2	POMT2	POMT2	Q9UKY4	ENST00000261534;ENST00000556326	14	77274956	77320883	-1	14	77741299.0	77787227.0	-1.0
ENSG00000010278	CD9	CD9	CD9 MIC3 TSPAN29 GIG2	P21926	ENST00000382518;ENST00000538834;ENST00000009180	12	6199715	6238271	1	12	6308881.0	6347425.0	1.0
ENSG00000010310	GIPR	GIPR	GIPR	P48546	ENST00000590918;ENST00000263281;ENST00000304207	19	45668221	45683722	1	19	46171502.0	46186982.0	1.0
ENSG00000010319	SEMA3G	SEMA3G	SEMA3G	Q9NS98	ENST00000231721	3	52433035	52445103	-1	3	52467069.0	52479101.0	-1.0
ENSG00000010327	STAB1	STAB1	STAB1 FEEL1 KIAA0246	Q9NY15	ENST00000321725	3	52495337	52524512	1	3	52529354.0	52558511.0	1.0
ENSG00000010379	SLC6A13	SLC6A13	SLC6A13 GAT2	Q9NSD5	ENST00000445055;ENST00000343164;ENST00000436453	12	220621	262873	-1	12	329789.0	372039.0	-1.0
ENSG00000010404	IDS	IDS	IDS SIDS	P22304	ENST00000340855;ENST00000466323;ENST00000370441	X	149476988	149521096	-1	X	148558521.0	148615470.0	-1.0
ENSG00000010610	CD4	CD4	CD4	P01730	ENST00000011653	12	6786858	6820807	1	12	6896024.0	6929974.0	1.0
ENSG00000010704	HFE	HFE	HFE HLAH	Q30201	ENST00000353147;ENST00000397022;ENST00000352392;ENST00000349999;ENST00000317896;ENST00000461397;ENST00000336625;ENST00000488199;ENST00000357618	6	26087226	26098343	1	6	26087509.0	26098571.0	1.0
ENSG00000011021	CLCN6	CLCN6	CLCN6 KIAA0046	P51797	ENST00000312413;ENST00000346436;ENST00000376496	1	11806096	11848079	1	1	11866207.0	11903201.0	1.0
ENSG00000011028	MRC2	MRC2	MRC2 CLEC13E ENDO180 KIAA0709 UPARAP	Q9UBG0	ENST00000303375	17	62627670	62693597	1	17	60704762.0	60770958.0	1.0
ENSG00000011083	SLC6A7	SLC6A7	SLC6A7 PROT	Q99884	ENST00000230671	5	150190062	150222788	1	5	149569520.0	149602351.0	1.0
ENSG00000011105	TSPAN9	TSPAN9	TSPAN9 NET5	O75954	ENST00000537971;ENST00000011898	12	3077355	3286564	1	12	3186521.0	3395730.0	1.0
ENSG00000011201	ANOS1	ANOS1	ANOS1 ADMLX KAL KAL1 KALIG1	P23352	ENST00000262648	X	8528874	8732195	-1	X	8496915.0	8700227.0	-1.0
ENSG00000011422	PLAUR	PLAUR	PLAUR MO3 UPAR	Q03405	ENST00000339082;ENST00000340093;ENST00000221264	19	43646095	43670547	-1	19	44150247.0	44174699.0	-1.0
ENSG00000011465	DCN	DCN	DCN SLRR1B	P07585	ENST00000052754;ENST00000425043;ENST00000552962;ENST00000420120;ENST00000441303;ENST00000547568;ENST00000456569	12	91140484	91183217	-1	12	91539025.0	91576900.0	-1.0
ENSG00000011677	GABRA3	GABRA3	GABRA3	P34903	ENST00000370314;ENST00000535043	X	152166234	152451425	-1	X	151334706.0	151619830.0	-1.0
ENSG00000012124	CD22	CD22	CD22 SIGLEC2	P20273	ENST00000536635;ENST00000085219;ENST00000544992;ENST00000419549;ENST00000594250;ENST00000341773	19	35319261	35347361	1	19	35810164.0	35838258.0	1.0
ENSG00000012171	SEMA3B	SEMA3B	SEMA3B SEMA5 SEMAA	Q13214	ENST00000618865;ENST00000616701;ENST00000433753	3	50267542	50277546	1				
ENSG00000012174	MBTPS2	MBTPS2	MBTPS2 S2P	O43462	ENST00000379484	X	21839610	21885423	1	X	21857754.0	21903542.0	1.0
ENSG00000012223	LTF	LTF	LTF GIG12 LF	P02788	ENST00000231751;ENST00000426532	3	46435645	46485234	-1	3	46477136.0	46526724.0	-1.0
ENSG00000012232	EXTL3	EXTL3	EXTL3 EXTL1L EXTR1 KIAA0519	O43909	ENST00000696177;ENST00000696178;ENST00000220562;ENST00000696184;ENST00000696186	8	28600469	28756561	1	8	28457986.0	28613116.0	1.0
ENSG00000013288	MAN2B2	MAN2B2	MAN2B2 KIAA0935	Q9Y2E5	ENST00000285599	4	6575174	6623362	1	4	6576902.0	6625089.0	1.0
ENSG00000013293	SLC7A14	SLC7A14	SLC7A14 KIAA1613	Q8TBB6	ENST00000231706	3	170459548	170586075	-1	3	170177372.0	170303863.0	-1.0
ENSG00000013563	DNASE1L1	DNASE1L1	DNASE1L1 DNAS1L1 DNL1L	P49184	ENST00000369807;ENST00000369809;ENST00000393638;ENST00000369808;ENST00000014935;ENST00000309585	X	154401236	154412114	-1	X	153629579.0	153640449.0	-1.0
ENSG00000013588	GPRC5A	GPRC5A	GPRC5A GPCR5A RAI3 RAIG1	Q8NFJ5	ENST00000713574;ENST00000014914	12	12890782	12917937	1	12	13043716.0	13070871.0	1.0
ENSG00000013725	CD6	CD6	CD6	P30203	ENST00000313421;ENST00000352009;ENST00000452451	11	60971675	61020377	1	11	60739115.0	60787849.0	1.0
ENSG00000014257	ACP3	ACP3	ACP3 ACPP	P15309	ENST00000475741;ENST00000336375;ENST00000351273	3	132317369	132368302	1	3	132036211.0	132087142.0	1.0
ENSG00000015413	DPEP1	DPEP1	DPEP1 MDP RDP	P16444	ENST00000421184;ENST00000690203;ENST00000393092;ENST00000261615	16	89613308	89638456	1	16	89679716.0	89704839.0	1.0
ENSG00000015520	NPC1L1	NPC1L1	NPC1L1	Q9UHC9	ENST00000289547;ENST00000423141	7	44512535	44541330	-1	7	44552134.0	44580914.0	-1.0
ENSG00000015532	XYLT2	XYLT2	XYLT2 XT2 UNQ3058/PRO9878	Q9H1B5	ENST00000017003	17	50346080	50363138	1	17	48423453.0	48440499.0	1.0
ENSG00000016402	IL20RA	IL20RA	IL20RA UNQ681/PRO1315	Q9UHF4	ENST00000541547;ENST00000316649;ENST00000367748	6	136999971	137045180	-1	6	137321108.0	137366298.0	-1.0
ENSG00000016490	CLCA1	CLCA1	CLCA1 CACC1	A8K7I4	ENST00000234701;ENST00000394711	1	86468368	86501400	1	1	86934051.0	86965972.0	1.0
ENSG00000016602	CLCA4	CLCA4	CLCA4 CaCC2 UNQ562/PRO1124	Q14CN2	ENST00000370563	1	86547076	86580758	1	1	87012761.0	87046437.0	1.0
ENSG00000016864	GLT8D1	GLT8D1	GLT8D1 GALA4A AD-017 MSTP137 UNQ572/PRO1134	Q68CQ7	ENST00000266014;ENST00000478968;ENST00000394783;ENST00000491606	3	52694153	52706368	-1	3	52728505.0	52740048.0	-1.0
ENSG00000017483	SLC38A5	SLC38A5	SLC38A5 JM24 SN2 SNAT5 PP7194	Q8WUX1	ENST00000595796;ENST00000619100;ENST00000620913	X	48458537	48470554	-1				
ENSG00000018236	CNTN1	CNTN1	CNTN1	Q12860	ENST00000551295;ENST00000547702;ENST00000547849;ENST00000347616;ENST00000348761	12	40692431	41072415	1				
ENSG00000018280	SLC11A1	SLC11A1	SLC11A1 LSH NRAMP NRAMP1	P49279	ENST00000233202	2	218382029	218396894	1	2	219246752.0	219261617.0	1.0
ENSG00000019102	VSIG2	VSIG2	VSIG2 CTH CTXL UNQ2770/PRO7154	Q96IQ7	ENST00000326621;ENST00000403470	11	124747472	124752255	-1	11	124617368.0	124622134.0	-1.0
ENSG00000019169	MARCO	MARCO	MARCO SCARA2	Q9UEW3	ENST00000327097	2	118942172	118994664	1	2	119699742.0	119752236.0	1.0
ENSG00000019582	CD74	CD74	CD74 DHLAG	P04233	ENST00000009530;ENST00000377795;ENST00000353334	5	150401637	150412969	-1	5	149781200.0	149792492.0	-1.0
ENSG00000019991	HGF	HGF	HGF HPTA	P14210	ENST00000222390;ENST00000457544;ENST00000444829;ENST00000453411;ENST00000423064	7	81699010	81770438	-1	7	81328322.0	81399754.0	-1.0
ENSG00000020181	ADGRA2	ADGRA2	ADGRA2 GPR124 KIAA1531 TEM5	Q96PE1	ENST00000412232;ENST00000315215	8	37784191	37844896	1	8	37641709.0	37702414.0	1.0
ENSG00000021645	NRXN3	NRXN3	NRXN3 KIAA0743	Q9HDB5;Q9Y4C0	ENST00000557594;ENST00000281127;ENST00000428277;ENST00000554738;ENST00000554719	14	78170373	79868291	1	14	78708734.0	80330762.0	1.0
ENSG00000021826	CPS1	CPS1	CPS1	P31327	ENST00000673510;ENST00000673630;ENST00000430249;ENST00000673711;ENST00000233072;ENST00000451903	2	210477682	210679107	1	2	211342406.0	211543831.0	1.0
ENSG00000021852	C8B	C8B	C8B	P07358	ENST00000371237;ENST00000696164	1	56929099	56974383	-1	1	57394883.0	57431813.0	-1.0
ENSG00000022355	GABRA1	GABRA1	GABRA1	P14867	ENST00000638112;ENST00000023897;ENST00000428797;ENST00000393943;ENST00000437025;ENST00000636573;ENST00000637827;ENST00000635880	5	161847063	161899981	1	5	161274197.0	161326975.0	1.0
ENSG00000023839	ABCC2	ABCC2	ABCC2 CMOAT CMOAT1 CMRP MRP2	Q92887	ENST00000647814	10	99782640	99852594	1				
ENSG00000025423	HSD17B6	HSD17B6	HSD17B6 RODH SDR9C6	O14756	ENST00000555159;ENST00000555805;ENST00000554643;ENST00000554150;ENST00000322165	12	56751817	56788409	1	12	57145945.0	57181574.0	1.0
ENSG00000026025	VIM	VIM	VIM	P08670	ENST00000544301;ENST00000224237	10	17228241	17237593	1	10	17270258.0	17279592.0	1.0
ENSG00000026103	FAS	FAS	FAS APT1 FAS1 TNFRSF6	P25445	ENST00000357339;ENST00000492756;ENST00000479522;ENST00000652046;ENST00000697036;ENST00000484444;ENST00000494410;ENST00000355279;ENST00000488877	10	88953813	89029605	1	10	90750414.0	90775542.0	1.0
ENSG00000026297	RNASET2	RNASET2	RNASET2 RNASE6PL	O00584	ENST00000508775;ENST00000421787;ENST00000476238	6	166922113	166957448	-1	6	167342992.0	167370679.0	-1.0
ENSG00000026508	CD44	CD44	CD44 LHR MDU2 MDU3 MIC4	P16070	ENST00000415148;ENST00000263398;ENST00000428726;ENST00000433892;ENST00000278386;ENST00000434472;ENST00000352818;ENST00000442151	11	35138882	35232402	1	11	35160417.0	35253949.0	1.0
ENSG00000026751	SLAMF7	SLAMF7	SLAMF7 CS1 UNQ576/PRO1138	Q9NQ25	ENST00000441662;ENST00000444090;ENST00000458602;ENST00000368043;ENST00000368042;ENST00000359331	1	160739057	160754821	1	1	160709037.0	160724611.0	1.0
ENSG00000026950	BTN3A1	BTN3A1	BTN3A1 BTF5	O00481	ENST00000476549;ENST00000425234;ENST00000289361;ENST00000850859;ENST00000414912	6	26402237	26415216	1	6	26402465.0	26415444.0	1.0
ENSG00000027644	INSRR	INSRR	INSRR IRR	P14616	ENST00000368195	1	156840063	156859117	-1	1	156809855.0	156828810.0	-1.0
ENSG00000027697	IFNGR1	IFNGR1	IFNGR1	P15260	ENST00000367739	6	137197483	137219449	-1	6	137518621.0	137540586.0	-1.0
ENSG00000027847	B4GALT7	B4GALT7	B4GALT7 XGALT1 UNQ748/PRO1478	Q9UBV7	ENST00000029410	5	177600114	177611056	1	5	177027101.0	177037348.0	1.0
ENSG00000028137	TNFRSF1B	TNFRSF1B	TNFRSF1B TNFBR TNFR2	P20333	ENST00000376259	1	12166977	12209228	1	1	12227060.0	12269285.0	1.0
ENSG00000029364	SLC39A9	SLC39A9	SLC39A9 ZIP9 UNQ714/PRO1377	Q9NUM3	ENST00000556605;ENST00000336643;ENST00000555840;ENST00000557046	14	69398015	69462390	1	14	69864732.0	69929105.0	1.0
ENSG00000029559	IBSP	IBSP	IBSP BNSP	P21815	ENST00000226284	4	87799546	87813329	1	4	88720733.0	88733074.0	1.0
ENSG00000030304	MUSK	MUSK	MUSK	O15146	ENST00000374448;ENST00000189978	9	110668779	110806558	1	9	113431051.0	113563859.0	1.0
ENSG00000030582	GRN	GRN	GRN	P28799	ENST00000053867	17	44345108	44353106	1	17	42422614.0	42430470.0	1.0
ENSG00000032444	PNPLA6	PNPLA6	PNPLA6 NTE	Q8IY17	ENST00000221249;ENST00000545201;ENST00000414982;ENST00000450331	19	7534004	7561764	1	19	7598890.0	7626650.0	1.0
ENSG00000033100	CHPF2	CHPF2	CHPF2 CHSY3 CSGLCAT KIAA1402 UNQ299/PRO339	Q9P2E5	ENST00000035307	7	151232483	151240979	1	7	150929575.0	150935908.0	1.0
ENSG00000033627	ATP6V0A1	ATP6V0A1	ATP6V0A1 ATP6N1 ATP6N1A VPP1	Q93050	ENST00000393829;ENST00000343619;ENST00000264649;ENST00000703901	17	42458844	42522582	1	17	40610862.0	40674629.0	1.0
ENSG00000033867	SLC4A7	SLC4A7	SLC4A7 BT NBC2 NBC2B NBC3 NBCn1 SBC2 SLC4A6	Q9Y6M7	ENST00000295736;ENST00000428386;ENST00000437179;ENST00000438530;ENST00000440156;ENST00000446700;ENST00000454389;ENST00000455077;ENST00000457377;ENST00000437266	3	27372723	27484451	-1	3	27414214.0	27525911.0	-1.0
ENSG00000034971	MYOC	MYOC	MYOC GLC1A TIGR	Q99972	ENST00000037502	1	171635417	171652688	-1	1	171604557.0	171621823.0	-1.0
ENSG00000036565	SLC18A1	SLC18A1	SLC18A1 VAT1 VMAT1	P54219	ENST00000265808;ENST00000276373;ENST00000437980;ENST00000440926;ENST00000519026;ENST00000381608	8	20144855	20183206	-1	8	20002366.0	20040717.0	-1.0
ENSG00000036828	CASR	CASR	CASR GPRC2A PCAR1	P41180	ENST00000639785;ENST00000638421;ENST00000498619	3	122183668	122291629	1	3	121902530.0	122005342.0	1.0
ENSG00000037280	FLT4	FLT4	FLT4 VEGFR3	P35916	ENST00000261937;ENST00000393347	5	180601506	180649629	-1	5	180028506.0	180076624.0	-1.0
ENSG00000037749	MFAP3	MFAP3	MFAP3	P55082	ENST00000439768;ENST00000522782;ENST00000322602	5	154038959	154220478	1	5	153418466.0	153600038.0	1.0
ENSG00000038002	AGA	AGA	AGA	P20933	ENST00000264595	4	177430774	177442444	-1	4	178351924.0	178363657.0	-1.0
ENSG00000038295	TLL1	TLL1	TLL1 TLL	O43897	ENST00000061240;ENST00000513213	4	165873237	166104457	1	4	166794410.0	167025047.0	1.0
ENSG00000038427	VCAN	VCAN	VCAN CSPG2	P13611	ENST00000265077;ENST00000502527;ENST00000342785;ENST00000343200	5	83471618	83582303	1	5	82767284.0	82878122.0	1.0
ENSG00000038945	MSR1	MSR1	MSR1 SCARA1	P21757	ENST00000262101;ENST00000355282;ENST00000381998;ENST00000350896	8	16107878	16567490	-1	8	15965387.0	16424999.0	-1.0
ENSG00000039068	CDH1	CDH1	CDH1 CDHE UVO	P12830	ENST00000261769;ENST00000422392	16	68737292	68835540	1	16	68771128.0	68869451.0	1.0
ENSG00000039537	C6	C6	C6	P13671	ENST00000337836;ENST00000263413	5	41140236	41261561	-1	5	41142336.0	41261540.0	-1.0
ENSG00000040487	SLC66A1	SLC66A1	SLC66A1 PQLC2	Q6ZP29	ENST00000375153;ENST00000375155;ENST00000400548	1	19312284	19329300	1	1	19638820.0	19655794.0	1.0
ENSG00000040531	CTNS	CTNS	CTNS	O60931	ENST00000673965;ENST00000381870;ENST00000046640	17	3636459	3663103	1	17	3539762.0	3564836.0	1.0
ENSG00000040608	RTN4R	RTN4R	RTN4R NOGOR UNQ330/PRO526	Q9BZR6	ENST00000043402	22	20241415	20283246	-1	22	20228938.0	20270769.0	-1.0
ENSG00000040731	CDH10	CDH10	CDH10	Q9Y6N8	ENST00000264463	5	24487099	24644978	-1	5	24487209.0	24645087.0	-1.0
ENSG00000041982	TNC	TNC	TNC HXB	P24821	ENST00000350763;ENST00000537320	9	115019575	115118257	-1	9	117782806.0	117880536.0	-1.0
