region	chrom	start	end	n_snps	mean_bmap	assigned_gene	assignment_tier	assignment_evidence	nearest_gene	nearest_distance	n_molqtl_genes	molqtl_multiplicity	l2g_genes
14_24249394_24249394	14	24249394	24249394	1	955.0	DHRS4	molqtl	sets=1,tissues=1,mods=tuqtl	DHRS2	134546	2	SDR39U1|sets=1|tissues=1|mods=eqtl;DHRS4|sets=1|tissues=1|mods=tuqtl	
14_89538401_89538401	14	89538401	89538401	1	915.0	FOXN3	nearest	closest|dist=52815bp	FOXN3	52815	0		
16_78487452_78487452	16	78487452	78487452	1	888.0	WWOX	nearest	closest|dist=0bp	WWOX	0	0		
17_70908702_70908702	17	70908702	70908702	1	985.0	SLC39A11	nearest	closest|dist=0bp	SLC39A11	0	0		
19_22710420_22710420	19	22710420	22710420	1	875.0	ZNF98	molqtl	sets=3,tissues=1,mods=eqtl+tuqtl	ZNF98	0	3	ENSG00000270947|sets=2|tissues=1|mods=eqtl;LINC01233|sets=2|tissues=1|mods=eqtl;ZNF98|sets=3|tissues=1|mods=eqtl+tuqtl	
2_1138967_1139647	2	1138967	1139647	5	901.0	SH3YL1	molqtl	sets=8,tissues=2,mods=eqtl	SNTG2	0	1	SH3YL1|sets=8|tissues=2|mods=eqtl	
2_35952400_35952400	2	35952400	35952400	1	889.0	CRIM1	nearest	closest|dist=628398bp	CRIM1	628398	0		
2_42237228_42237228	2	42237228	42237228	1	747.0	PKDCC	l2g	L2G=0.85	PKDCC	37934	1	PKDCC|sets=2|tissues=1|mods=eqtl	PKDCC(0.85)
2_224638996_224638996	2	224638996	224638996	1	929.0	AP1S3	l2g	L2G=0.70	AP1S3	0	0		AP1S3(0.70)
2_224887004_224887004	2	224887004	224887004	1	915.0	SERPINE2	nearest	closest|dist=0bp	SERPINE2	0	0		
2_237968214_237968421	2	237968214	237968421	3	956.0	COPS8	nearest	closest|dist=26105bp	COPS8	26105	0		
21_41206052_41208874	21	41206052	41208874	9	947.3	HMGN1	molqtl	sets=9,tissues=1,mods=eqtl	IGSF5	32044	2	HMGN1|sets=9|tissues=1|mods=eqtl;PSMG1|sets=9|tissues=1|mods=sqtl	
4_12087957_12087957	4	12087957	12087957	1	922.0	HS3ST1	nearest	closest|dist=656769bp	HS3ST1	656769	0		
4_32200878_32200878	4	32200878	32200878	1	882.0	PCDH7	nearest	closest|dist=1052451bp	PCDH7	1052451	0		
4_56144663_56147967	4	56144663	56147967	3	782.7	SRD5A3	molqtl	sets=2,tissues=1,mods=tuqtl	SRD5A3	64414	1	SRD5A3|sets=2|tissues=1|mods=tuqtl	
4_57918296_57919705	4	57918296	57919705	4	932.2	IGFBP7	l2g	L2G=0.70	IGFBP7	0	0		IGFBP7(0.70)
4_58495926_58495926	4	58495926	58495926	1	706.0	IGFBP7	nearest	closest|dist=519070bp	IGFBP7	519070	0		
4_71210148_71211089	4	71210148	71211089	7	892.4	MUC7	molqtl	sets=14,tissues=1,mods=eqtl	CABS1	7315	1	MUC7|sets=14|tissues=1|mods=eqtl	
4_71386175_71386175	4	71386175	71386175	1	860.0	MUC7	l2g	L2G=0.57	AMTN	0	0		MUC7(0.57),AMTN(0.08)
4_115378707_115379737	4	115378707	115379737	6	889.8	UGT8	l2g	L2G=0.55	UGT8	139794	0		UGT8(0.55),NDST4(0.09)
4_141921518_141921518	4	141921518	141921518	1	919.0	RNF150	molqtl	sets=11,tissues=2,mods=eqtl+sceqtl+tuqtl	RNF150	0	1	RNF150|sets=11|tissues=2|mods=eqtl+sceqtl+tuqtl	
4_144655489_144662054	4	144655489	144662054	12	760.0	GYPB	l2g	L2G=0.83	FREM3	33661	3	GYPE|sets=285|tissues=13|mods=eqtl+sceqtl;GUSBP5|sets=79|tissues=4|mods=eqtl+sqtl;FCGR2B|sets=12|tissues=1|mods=pqtl	GYPB(0.83),FREM3(0.79),GYPE(0.51),GYPA(0.19)
4_165753488_165753488	4	165753488	165753488	1	965.0	MARCHF1	molqtl	sets=1,tissues=1,mods=eqtl	SMIM31	28541	1	MARCHF1|sets=1|tissues=1|mods=eqtl	
4_172136342_172136342	4	172136342	172136342	1	912.0	GALNTL6	nearest	closest|dist=597064bp	GALNTL6	597064	0		
4_180069715_180069715	4	180069715	180069715	1	936.0	AGA	nearest	closest|dist=1706117bp	AGA	1706117	0		
5_8017470_8024003	5	8017470	8024003	16	949.0	MTRR	molqtl	sets=28,tissues=2,mods=eqtl+sqtl	MTRR	111332	2	MTRR|sets=28|tissues=2|mods=eqtl+sqtl;ENSG00000287947|sets=24|tissues=1|mods=eqtl	
5_16919819_16919992	5	16919819	16919992	2	956.0	MYO10	l2g	L2G=0.91	MYO10	0	0		MYO10(0.91)
5_29637400_29637695	5	29637400	29637695	2	937.0	CDH6	nearest	closest|dist=1556099bp	CDH6	1556099	0		
6_39240639_39240639	6	39240639	39240639	1	943.0	KCNK17	nearest	closest|dist=26136bp	KCNK17	26136	0		
6_166673913_166673913	6	166673913	166673913	1	990.0	MPC1	molqtl	sets=20,tissues=4,mods=eqtl	PRR18	44876	5	MPC1|sets=20|tissues=4|mods=eqtl;ENSG00000233365|sets=9|tissues=3|mods=eqtl;SFT2D1|sets=6|tissues=3|mods=eqtl;TBXT|sets=2|tissues=1|mods=eqtl;LNCDAT|sets=1|tissues=1|mods=eqtl	
7_158537244_158537244	7	158537244	158537244	1	617.0	ESYT2	l2g	L2G=0.84	ESYT2	0	1	ESYT2|sets=93|tissues=41|mods=eqtl+sceqtl+sqtl+tuqtl	ESYT2(0.84),NCAPG2(0.45),PTPRN2(0.07),DYNC2I1(0.06)
8_23411778_23411778	8	23411778	23411778	1	953.0	SLC25A37	l2g	L2G=0.85	SLC25A37	0	1	SLC25A37|sets=4|tissues=1|mods=eqtl+sqtl+tuqtl	SLC25A37(0.85)
