region	chrom	start	end	n_snps	mean_bmap	assigned_gene	assignment_tier	assignment_evidence	nearest_gene	nearest_distance	n_molqtl_genes	molqtl_multiplicity	l2g_genes
13_74300726_74300726	13	74300726	74300726	1	856.0	KLF12	l2g	L2G=0.67	KLF12	0	1	KLF5|sets=1|tissues=1|mods=eqtl	KLF12(0.67)
14_22758552_22758552	14	22758552	22758552	1	962.0	OXA1L	molqtl	sets=1,tissues=1,mods=eqtl	DAD1	274235	2	OXA1L|sets=1|tissues=1|mods=eqtl;RBM23|sets=1|tissues=1|mods=eqtl	
14_89538401_89538401	14	89538401	89538401	1	915.0	FOXN3	nearest	closest|dist=52815bp	FOXN3	52815	0		
15_54984861_54984861	15	54984861	54984861	1	906.0	UNC13C	nearest	closest|dist=63956bp	UNC13C	63956	0		
16_5605114_5605114	16	5605114	5605114	1	974.0	RBFOX1	l2g	L2G=0.53	RBFOX1	0	0		RBFOX1(0.53)
17_58829124_58829124	17	58829124	58829124	1	564.0	BCAS3	l2g	L2G=0.79	BCAS3	0	0		BCAS3(0.79)
17_70908606_70908606	17	70908606	70908606	1	985.0	SLC39A11	nearest	closest|dist=0bp	SLC39A11	0	0		
2_1138967_1139647	2	1138967	1139647	4	901.0	SH3YL1	molqtl	sets=6,tissues=2,mods=eqtl	SNTG2	0	1	SH3YL1|sets=6|tissues=2|mods=eqtl	
2_35952400_35952400	2	35952400	35952400	1	889.0	CRIM1	nearest	closest|dist=628398bp	CRIM1	628398	0		
2_42237228_42237228	2	42237228	42237228	1	747.0	PKDCC	l2g	L2G=0.85	PKDCC	37934	1	PKDCC|sets=2|tissues=1|mods=eqtl	PKDCC(0.85)
2_129359232_129359232	2	129359232	129359232	1	960.0	HS6ST1	nearest	closest|dist=282790bp	HS6ST1	282790	0		
2_224638996_224638996	2	224638996	224638996	1	929.0	AP1S3	l2g	L2G=0.70	AP1S3	0	0		AP1S3(0.70)
2_224887004_224887004	2	224887004	224887004	1	915.0	SERPINE2	nearest	closest|dist=0bp	SERPINE2	0	0		
2_237968214_237968421	2	237968214	237968421	3	956.0	COPS8	nearest	closest|dist=26105bp	COPS8	26105	0		
20_52817810_52817810	20	52817810	52817810	1	985.0	PFDN4	l2g	L2G=0.85	PFDN4	6547	0		PFDN4(0.85),CYP24A1(0.13)
21_41205924_41208874	21	41205924	41208874	12	947.2	HMGN1	molqtl	sets=12,tissues=1,mods=eqtl	PCP4	30492	2	HMGN1|sets=12|tissues=1|mods=eqtl;PSMG1|sets=12|tissues=1|mods=sqtl	
3_145043291_145043291	3	145043291	145043291	1	900.0	PLOD2	nearest	closest|dist=709636bp	PLOD2	709636	0		
4_12087957_12087957	4	12087957	12087957	1	922.0	HS3ST1	nearest	closest|dist=656769bp	HS3ST1	656769	0		
4_32646855_32646855	4	32646855	32646855	1	892.0	PCDH7	nearest	closest|dist=1498428bp	PCDH7	1498428	0		
4_56144663_56147967	4	56144663	56147967	3	782.7	SRD5A3	molqtl	sets=2,tissues=1,mods=tuqtl	SRD5A3	64414	1	SRD5A3|sets=2|tissues=1|mods=tuqtl	
4_57698600_57698600	4	57698600	57698600	1	919.0	SPINK2	nearest	closest|dist=10692bp	SPINK2	10692	0		
4_57918296_57919705	4	57918296	57919705	6	932.2	IGFBP7	l2g	L2G=0.70	IGFBP7	0	0		IGFBP7(0.70)
4_58495926_58495926	4	58495926	58495926	1	706.0	IGFBP7	nearest	closest|dist=519070bp	IGFBP7	519070	0		
4_58570867_58570867	4	58570867	58570867	1	751.0	IGFBP7	nearest	closest|dist=594011bp	IGFBP7	594011	0		
4_71210148_71210970	4	71210148	71210970	5	892.2	MUC7	molqtl	sets=10,tissues=1,mods=eqtl	CABS1	7315	1	MUC7|sets=10|tissues=1|mods=eqtl	
4_71386175_71386175	4	71386175	71386175	1	860.0	MUC7	l2g	L2G=0.57	AMTN	0	0		MUC7(0.57),AMTN(0.08)
4_115378668_115379737	4	115378668	115379737	7	889.9	UGT8	l2g	L2G=0.65	UGT8	139794	0		UGT8(0.65),NDST4(0.10),ARSJ(0.06)
4_141921518_141921518	4	141921518	141921518	1	919.0	RNF150	molqtl	sets=11,tissues=2,mods=eqtl+sceqtl+tuqtl	RNF150	0	1	RNF150|sets=11|tissues=2|mods=eqtl+sceqtl+tuqtl	
4_144655489_144662054	4	144655489	144662054	8	760.0	GYPB	l2g	L2G=0.83	FREM3	33661	3	GYPE|sets=191|tissues=13|mods=eqtl+sceqtl;GUSBP5|sets=53|tissues=4|mods=eqtl+sqtl;FCGR2B|sets=8|tissues=1|mods=pqtl	GYPB(0.83),FREM3(0.79),GYPE(0.51),GYPA(0.19)
4_162038353_162038353	4	162038353	162038353	1	890.0	FSTL5	nearest	closest|dist=266697bp	FSTL5	266697	0		
4_165753488_165753488	4	165753488	165753488	1	965.0	MARCHF1	molqtl	sets=1,tissues=1,mods=eqtl	SMIM31	28541	1	MARCHF1|sets=1|tissues=1|mods=eqtl	
4_172136342_172136342	4	172136342	172136342	1	912.0	GALNTL6	nearest	closest|dist=597064bp	GALNTL6	597064	0		
4_180069715_180069715	4	180069715	180069715	1	936.0	AGA	nearest	closest|dist=1706117bp	AGA	1706117	0		
5_8017470_8024003	5	8017470	8024003	11	949.0	MTRR	molqtl	sets=18,tissues=2,mods=eqtl+sqtl	MTRR	111332	2	MTRR|sets=18|tissues=2|mods=eqtl+sqtl;ENSG00000287947|sets=14|tissues=1|mods=eqtl	
5_16919819_16919992	5	16919819	16919992	2	956.0	MYO10	l2g	L2G=0.91	MYO10	0	0		MYO10(0.91)
5_29637400_29637695	5	29637400	29637695	2	937.0	CDH6	nearest	closest|dist=1556099bp	CDH6	1556099	0		
6_166673913_166673913	6	166673913	166673913	1	990.0	MPC1	molqtl	sets=20,tissues=4,mods=eqtl	PRR18	44876	5	MPC1|sets=20|tissues=4|mods=eqtl;ENSG00000233365|sets=9|tissues=3|mods=eqtl;SFT2D1|sets=6|tissues=3|mods=eqtl;TBXT|sets=2|tissues=1|mods=eqtl;LNCDAT|sets=1|tissues=1|mods=eqtl	
7_36547245_36547245	7	36547245	36547245	1	978.0	AOAH	nearest	closest|dist=1672bp	AOAH	1672	0		
8_21455324_21455324	8	21455324	21455324	1	897.0	GFRA2	l2g	L2G=0.66	GFRA2	92586	1	XPO7|sets=1|tissues=1|mods=eqtl	GFRA2(0.66),NPM2(0.07),FGF17(0.06)
8_54528520_54528520	8	54528520	54528520	1	860.0	ATP6V1H	nearest	closest|dist=99584bp	ATP6V1H	99584	0		ATP6V1H(0.26),OPRK1(0.10),RGS20(0.08)
8_74978724_74978724	8	74978724	74978724	1	874.0	LY96	nearest	closest|dist=37410bp	LY96	37410	0		
9_7215204_7215204	9	7215204	7215204	1	893.0	KDM4C	molqtl	sets=1,tissues=1,mods=eqtl	KDM4C	39556	1	KDM4C|sets=1|tissues=1|mods=eqtl	
