region	chrom	start	end	n_snps	mean_bmap	assigned_gene	assignment_tier	assignment_evidence	nearest_gene	nearest_distance	n_molqtl_genes	molqtl_multiplicity	l2g_genes
2_1138967_1139647	2	1138967	1139647	4	901.0	SH3YL1	molqtl	sets=6,tissues=2,mods=eqtl	SNTG2	0	1	SH3YL1|sets=6|tissues=2|mods=eqtl	
2_35952400_35952400	2	35952400	35952400	1	889.0	CRIM1	nearest	closest|dist=628398bp	CRIM1	628398	0		
2_224638996_224638996	2	224638996	224638996	1	929.0	AP1S3	l2g	L2G=0.70	AP1S3	0	0		AP1S3(0.70)
2_237968214_237968421	2	237968214	237968421	3	956.0	COPS8	nearest	closest|dist=26105bp	COPS8	26105	0		
20_52817810_52817810	20	52817810	52817810	1	985.0	PFDN4	l2g	L2G=0.85	PFDN4	6547	0		PFDN4(0.85),CYP24A1(0.13)
21_41206052_41208874	21	41206052	41208874	11	947.3	HMGN1	molqtl	sets=11,tissues=1,mods=eqtl	PCP4	30492	2	HMGN1|sets=11|tissues=1|mods=eqtl;PSMG1|sets=11|tissues=1|mods=sqtl	
4_12087957_12087957	4	12087957	12087957	1	922.0	HS3ST1	nearest	closest|dist=656769bp	HS3ST1	656769	0		
4_56144663_56147967	4	56144663	56147967	3	782.7	SRD5A3	molqtl	sets=2,tissues=1,mods=tuqtl	SRD5A3	64414	1	SRD5A3|sets=2|tissues=1|mods=tuqtl	
4_57698600_57698600	4	57698600	57698600	1	919.0	SPINK2	nearest	closest|dist=10692bp	SPINK2	10692	0		
4_57918296_57919462	4	57918296	57919462	3	932.3	IGFBP7	l2g	L2G=0.70	IGFBP7	0	0		IGFBP7(0.70)
4_71210148_71210970	4	71210148	71210970	5	892.2	MUC7	molqtl	sets=10,tissues=1,mods=eqtl	CABS1	7315	1	MUC7|sets=10|tissues=1|mods=eqtl	
4_71386175_71386175	4	71386175	71386175	1	860.0	MUC7	l2g	L2G=0.57	AMTN	0	0		MUC7(0.57),AMTN(0.08)
4_115378668_115379737	4	115378668	115379737	7	889.9	UGT8	l2g	L2G=0.65	UGT8	139794	0		UGT8(0.65),NDST4(0.10),ARSJ(0.06)
4_141921518_141921518	4	141921518	141921518	1	919.0	RNF150	molqtl	sets=11,tissues=2,mods=eqtl+sceqtl+tuqtl	RNF150	0	1	RNF150|sets=11|tissues=2|mods=eqtl+sceqtl+tuqtl	
4_144655489_144662054	4	144655489	144662054	8	760.0	GYPB	l2g	L2G=0.83	FREM3	33661	3	GYPE|sets=191|tissues=13|mods=eqtl+sceqtl;GUSBP5|sets=53|tissues=4|mods=eqtl+sqtl;FCGR2B|sets=8|tissues=1|mods=pqtl	GYPB(0.83),FREM3(0.79),GYPE(0.51),GYPA(0.19)
4_180069715_180069715	4	180069715	180069715	1	936.0	AGA	nearest	closest|dist=1706117bp	AGA	1706117	0		
5_8017470_8024003	5	8017470	8024003	10	949.0	MTRR	molqtl	sets=17,tissues=2,mods=eqtl+sqtl	MTRR	111332	2	MTRR|sets=17|tissues=2|mods=eqtl+sqtl;ENSG00000287947|sets=13|tissues=1|mods=eqtl	
5_16919819_16919992	5	16919819	16919992	2	956.0	MYO10	l2g	L2G=0.91	MYO10	0	0		MYO10(0.91)
5_29637400_29637695	5	29637400	29637695	2	937.0	CDH6	nearest	closest|dist=1556099bp	CDH6	1556099	0		
6_166673913_166673913	6	166673913	166673913	1	990.0	MPC1	molqtl	sets=20,tissues=4,mods=eqtl	PRR18	44876	5	MPC1|sets=20|tissues=4|mods=eqtl;ENSG00000233365|sets=9|tissues=3|mods=eqtl;SFT2D1|sets=6|tissues=3|mods=eqtl;TBXT|sets=2|tissues=1|mods=eqtl;LNCDAT|sets=1|tissues=1|mods=eqtl	
8_21455324_21455324	8	21455324	21455324	1	897.0	GFRA2	l2g	L2G=0.66	GFRA2	92586	1	XPO7|sets=1|tissues=1|mods=eqtl	GFRA2(0.66),NPM2(0.07),FGF17(0.06)
