region	chrom	start	end	n_snps	mean_bmap	assigned_gene	assignment_tier	assignment_evidence	nearest_gene	nearest_distance	n_molqtl_genes	molqtl_multiplicity	l2g_genes
2_224887004_224887004	2	224887004	224887004	1	915.0	SERPINE2	nearest	closest|dist=0bp	SERPINE2	0	0		
2_237968214_237968421	2	237968214	237968421	3	956.0	COPS8	nearest	closest|dist=26105bp	COPS8	26105	0		
20_52817810_52817810	20	52817810	52817810	1	985.0	PFDN4	l2g	L2G=0.85	PFDN4	6547	0		PFDN4(0.85),CYP24A1(0.13)
21_41206052_41208874	21	41206052	41208874	11	947.3	HMGN1	molqtl	sets=11,tissues=1,mods=eqtl	PCP4	30492	2	HMGN1|sets=11|tissues=1|mods=eqtl;PSMG1|sets=11|tissues=1|mods=sqtl	
22_17905851_17905851	22	17905851	17905851	1	952.0	CECR2	nearest	closest|dist=0bp	CECR2	0	0		
3_122302254_122302254	3	122302254	122302254	1	910.0	PARP15	molqtl	sets=14,tissues=8,mods=eqtl+sceqtl+sqtl+tuqtl	PARP15	0	3	PARP15|sets=14|tissues=8|mods=eqtl+sceqtl+sqtl+tuqtl;WDR5B-DT|sets=1|tissues=1|mods=sqtl;MIX23|sets=1|tissues=1|mods=tuqtl	
3_145043291_145043291	3	145043291	145043291	1	900.0	PLOD2	nearest	closest|dist=709636bp	PLOD2	709636	0		
4_32646855_32646855	4	32646855	32646855	1	892.0	PCDH7	nearest	closest|dist=1498428bp	PCDH7	1498428	0		
4_56144663_56147967	4	56144663	56147967	3	782.7	SRD5A3	molqtl	sets=2,tissues=1,mods=tuqtl	SRD5A3	64414	1	SRD5A3|sets=2|tissues=1|mods=tuqtl	
4_71210148_71210336	4	71210148	71210336	4	892.0	MUC7	molqtl	sets=8,tissues=1,mods=eqtl	CABS1	7315	1	MUC7|sets=8|tissues=1|mods=eqtl	
4_71386175_71386175	4	71386175	71386175	1	860.0	MUC7	l2g	L2G=0.57	AMTN	0	0		MUC7(0.57),AMTN(0.08)
4_115378668_115379737	4	115378668	115379737	7	889.9	UGT8	l2g	L2G=0.65	UGT8	139794	0		UGT8(0.65),NDST4(0.10),ARSJ(0.06)
4_144655489_144659625	4	144655489	144659625	8	760.0	GYPB	l2g	L2G=0.83	FREM3	33661	3	GYPE|sets=190|tissues=13|mods=eqtl+sceqtl;GUSBP5|sets=52|tissues=4|mods=eqtl+sqtl;FCGR2B|sets=8|tissues=1|mods=pqtl	GYPB(0.83),FREM3(0.79),GYPE(0.51),GYPA(0.19)
4_166453971_166453971	4	166453971	166453971	1	944.0	CPE	nearest	closest|dist=34272bp	CPE	34272	0		
4_172136342_172136342	4	172136342	172136342	1	912.0	GALNTL6	nearest	closest|dist=597064bp	GALNTL6	597064	0		
4_180069715_180069715	4	180069715	180069715	1	936.0	AGA	nearest	closest|dist=1706117bp	AGA	1706117	0		
5_2352340_2352340	5	2352340	2352340	1	980.0	IRX2	nearest	closest|dist=389569bp	IRX2	389569	0		
5_8017470_8024003	5	8017470	8024003	17	949.0	MTRR	molqtl	sets=30,tissues=2,mods=eqtl+sqtl	MTRR	111332	2	MTRR|sets=30|tissues=2|mods=eqtl+sqtl;ENSG00000287947|sets=26|tissues=1|mods=eqtl	
5_16919819_16919992	5	16919819	16919992	2	956.0	MYO10	l2g	L2G=0.91	MYO10	0	0		MYO10(0.91)
5_29637400_29637695	5	29637400	29637695	2	937.0	CDH6	nearest	closest|dist=1556099bp	CDH6	1556099	0		
5_128282115_128282115	5	128282115	128282115	1	838.0	SLC27A6	l2g	L2G=0.82	SLC27A6	0	2	SLC27A6|sets=10|tissues=9|mods=eqtl;ISOC1|sets=1|tissues=1|mods=eqtl	SLC27A6(0.82),ISOC1(0.09),FBN2(0.08)
6_39240639_39240639	6	39240639	39240639	1	943.0	KCNK17	nearest	closest|dist=26136bp	KCNK17	26136	0		
6_166673913_166673913	6	166673913	166673913	1	990.0	MPC1	molqtl	sets=20,tissues=4,mods=eqtl	PRR18	44876	5	MPC1|sets=20|tissues=4|mods=eqtl;ENSG00000233365|sets=9|tissues=3|mods=eqtl;SFT2D1|sets=6|tissues=3|mods=eqtl;TBXT|sets=2|tissues=1|mods=eqtl;LNCDAT|sets=1|tissues=1|mods=eqtl	
7_19817016_19817016	7	19817016	19817016	1	903.0	TMEM196	l2g	L2G=0.77	TMEM196	3776	0		TMEM196(0.77),POLR1F(0.11),MACC1(0.06)
7_19912040_19912040	7	19912040	19912040	1	906.0	POLR1F	molqtl	sets=1,tissues=1,mods=eqtl	TMEM196	98800	1	POLR1F|sets=1|tissues=1|mods=eqtl	
7_36547245_36547245	7	36547245	36547245	1	978.0	AOAH	nearest	closest|dist=1672bp	AOAH	1672	0		
8_3139964_3139964	8	3139964	3139964	1	983.0	CSMD1	l2g	L2G=0.52	CSMD1	0	0		CSMD1(0.52)
8_21455324_21455324	8	21455324	21455324	1	897.0	GFRA2	l2g	L2G=0.66	GFRA2	92586	1	XPO7|sets=1|tissues=1|mods=eqtl	GFRA2(0.66),NPM2(0.07),FGF17(0.06)
8_54528520_54528520	8	54528520	54528520	1	860.0	ATP6V1H	nearest	closest|dist=99584bp	ATP6V1H	99584	0		ATP6V1H(0.26),OPRK1(0.10),RGS20(0.08)
8_74978724_74978724	8	74978724	74978724	1	874.0	LY96	nearest	closest|dist=37410bp	LY96	37410	0		
9_7215204_7215204	9	7215204	7215204	1	893.0	KDM4C	molqtl	sets=1,tissues=1,mods=eqtl	KDM4C	39556	1	KDM4C|sets=1|tissues=1|mods=eqtl	
