panel	tsp	archaic	R2
AFR	71210321	71340686	0.00366736
AFR	71210321	71340693	0.00366736
AFR	71210321	71341033	0.00366736
AFR	71210321	71341779	0.00366736
AFR	71210321	71341807	0.00366736
AFR	71210321	71341817	0.00183609
AFR	71210321	71341824	0.00366736
AFR	71210321	71342015	0.00366736
AFR	71210321	71342387	0.00366736
AFR	71210321	71342517	0.00366736
AFR	71210321	71343160	0.00485989
AFR	71210321	71343178	0.00485989
AFR	71210321	71343313	0.00485989
AFR	71210321	71343365	0.0206811
AFR	71210321	71343544	0.00485989
AFR	71210321	71344199	0.00571851
AFR	71210321	71344315	0.00571851
AFR	71210321	71344338	0.00571851
AFR	71210321	71345502	0.00571851
AFR	71210321	71345652	0.00571851
AFR	71210321	71345730	0.00571851
AFR	71210321	71345828	0.00571851
AFR	71210321	71345869	0.00571851
AFR	71210321	71345904	0.00571851
AFR	71210321	71346012	0.00571851
AFR	71210321	71346336	0.0206811
AFR	71210321	71346542	0.00571851
AFR	71210321	71346966	0.00672554
AFR	71210321	71346987	0.00672554
AFR	71210321	71347346	0.00571851
AFR	71210321	71347353	0.00571851
AFR	71210321	71347577	0.00571851
AFR	71210321	71347608	0.00571851
AFR	71210321	71347660	0.00571851
AFR	71210321	71348157	0.00571851
AFR	71210336	71337964	0.00366736
AFR	71210336	71338220	0.00366736
AFR	71210336	71338575	0.00366736
AFR	71210336	71338699	0.00366736
AFR	71210336	71338723	0.00366736
AFR	71210336	71338887	0.00366736
AFR	71210336	71339181	0.00366736
AFR	71210336	71339362	0.00366736
AFR	71210336	71339363	0.00366736
AFR	71210336	71340686	0.00366736
AFR	71210336	71340693	0.00366736
AFR	71210336	71341033	0.00366736
AFR	71210336	71341779	0.00366736
AFR	71210336	71341807	0.00366736
AFR	71210336	71341817	0.00183609
AFR	71210336	71341824	0.00366736
AFR	71210336	71342015	0.00366736
AFR	71210336	71342387	0.00366736
AFR	71210336	71342517	0.00366736
AFR	71210336	71343160	0.00485989
AFR	71210336	71343178	0.00485989
AFR	71210336	71343313	0.00485989
AFR	71210336	71343365	0.0206811
AFR	71210336	71343544	0.00485989
AFR	71210336	71344199	0.00571851
AFR	71210336	71344315	0.00571851
AFR	71210336	71344338	0.00571851
AFR	71210336	71345502	0.00571851
AFR	71210336	71345652	0.00571851
AFR	71210336	71345730	0.00571851
AFR	71210336	71345828	0.00571851
AFR	71210336	71345869	0.00571851
AFR	71210336	71345904	0.00571851
AFR	71210336	71346012	0.00571851
AFR	71210336	71346336	0.0206811
AFR	71210336	71346542	0.00571851
AFR	71210336	71346966	0.00672554
AFR	71210336	71346987	0.00672554
AFR	71210336	71347346	0.00571851
AFR	71210336	71347353	0.00571851
AFR	71210336	71347577	0.00571851
AFR	71210336	71347608	0.00571851
AFR	71210336	71347660	0.00571851
AFR	71210336	71348157	0.00571851
AFR	71210970	71337964	0.00389713
AFR	71210970	71338220	0.00389713
AFR	71210970	71338575	0.00389713
AFR	71210970	71338699	0.00389713
AFR	71210970	71338723	0.00389713
AFR	71210970	71338887	0.00389713
AFR	71210970	71339181	0.00389713
AFR	71210970	71339362	0.00389713
AFR	71210970	71339363	0.00389713
AFR	71210970	71340686	0.00389713
AFR	71210970	71340693	0.00389713
AFR	71210970	71341033	0.00389713
AFR	71210970	71341779	0.00389713
AFR	71210970	71341807	0.00389713
AFR	71210970	71341817	0.00197557
AFR	71210970	71341824	0.00389713
AFR	71210970	71342015	0.00389713
AFR	71210970	71342387	0.00389713
AFR	71210970	71342517	0.00389713
AFR	71210970	71343160	0.0051265
AFR	71210970	71343178	0.0051265
AFR	71210970	71343313	0.0051265
AFR	71210970	71343365	0.0206292
AFR	71210970	71343544	0.0051265
AFR	71210970	71344199	0.00601484
AFR	71210970	71344315	0.00601484
AFR	71210970	71344338	0.00601484
AFR	71210970	71345502	0.00601484
AFR	71210970	71345652	0.00601484
AFR	71210970	71345730	0.00601484
AFR	71210970	71345828	0.00601484
AFR	71210970	71345869	0.00601484
AFR	71210970	71345904	0.00601484
AFR	71210970	71346012	0.00601484
AFR	71210970	71346336	0.0206292
AFR	71210970	71346542	0.00601484
AFR	71210970	71346966	0.0070583
AFR	71210970	71346987	0.0070583
AFR	71210970	71347346	0.00601484
AFR	71210970	71347353	0.00601484
AFR	71210970	71347577	0.00601484
AFR	71210970	71347608	0.00601484
AFR	71210970	71347660	0.00601484
AFR	71210970	71348157	0.00601484
AFR	71386175	71337964	0.0218654
AFR	71386175	71338220	0.0218654
AFR	71386175	71338575	0.0218654
AFR	71386175	71338699	0.0218654
AFR	71386175	71338723	0.0218654
AFR	71386175	71338887	0.0218654
AFR	71386175	71339181	0.0218654
AFR	71386175	71339362	0.0218654
AFR	71386175	71339363	0.0218654
AFR	71386175	71340686	0.0218654
AFR	71386175	71340693	0.0218654
AFR	71386175	71341033	0.0218654
AFR	71386175	71341779	0.0218654
AFR	71386175	71341807	0.0218654
AFR	71386175	71341817	0.016283
AFR	71386175	71341824	0.0218654
AFR	71386175	71342015	0.0218654
AFR	71386175	71342387	0.0218654
AFR	71386175	71342517	0.0218654
AFR	71386175	71343160	0.0248592
AFR	71386175	71343178	0.0248592
AFR	71386175	71343313	0.0248592
AFR	71386175	71343365	0.0198348
AFR	71386175	71343544	0.0248592
AFR	71386175	71344199	0.0238262
AFR	71386175	71344315	0.0238262
AFR	71386175	71344338	0.0238262
AFR	71386175	71345502	0.0238262
AFR	71386175	71345652	0.0238262
AFR	71386175	71345730	0.0238262
AFR	71386175	71345828	0.0238262
AFR	71386175	71345869	0.0238262
AFR	71386175	71345904	0.0238262
AFR	71386175	71346012	0.0238262
AFR	71386175	71346336	0.0198348
AFR	71386175	71346542	0.0238262
AFR	71386175	71346966	0.0225926
AFR	71386175	71346987	0.0225926
AFR	71386175	71347346	0.0238262
AFR	71386175	71347353	0.0238262
AFR	71386175	71347577	0.0238262
AFR	71386175	71347608	0.0238262
AFR	71386175	71347660	0.0238262
AFR	71386175	71348157	0.0238262
ALL	71210148	71337964	0.00217984
ALL	71210148	71338220	0.00217984
ALL	71210148	71338575	0.00217984
ALL	71210148	71338699	0.00217984
ALL	71210148	71338723	0.00217984
ALL	71210148	71338887	0.00217984
ALL	71210148	71339181	0.00217984
ALL	71210148	71339362	0.00217984
ALL	71210148	71339363	0.00217984
ALL	71210148	71340686	0.00217984
ALL	71210148	71340693	0.00217984
ALL	71210148	71341033	0.00217984
ALL	71210148	71341779	0.00217984
ALL	71210148	71341807	0.00217984
ALL	71210148	71341817	0.00138688
ALL	71210148	71341824	0.00217984
ALL	71210148	71342015	0.00217984
ALL	71210148	71342387	0.00217984
ALL	71210148	71342517	0.00217984
ALL	71210148	71343160	0.00257552
ALL	71210148	71343178	0.00257552
ALL	71210148	71343313	0.00257552
ALL	71210148	71343365	0.0725554
ALL	71210148	71343544	0.00257552
ALL	71210148	71344199	0.00287331
ALL	71210148	71344315	0.00251242
ALL	71210148	71344338	0.00314528
ALL	71210148	71345502	0.00287331
ALL	71210148	71345652	0.00287331
ALL	71210148	71345730	0.00287331
ALL	71210148	71345828	0.00287331
ALL	71210148	71345869	0.00287331
ALL	71210148	71345904	0.00287331
ALL	71210148	71346012	0.00287331
ALL	71210148	71346336	0.0719721
ALL	71210148	71346542	0.00287331
ALL	71210148	71346966	0.0032475
ALL	71210148	71346987	0.0032475
ALL	71210148	71347346	0.00287331
ALL	71210148	71347353	0.00287331
ALL	71210148	71347577	0.00287331
ALL	71210148	71347608	0.00287331
ALL	71210148	71347660	0.00287331
ALL	71210148	71348157	0.00287331
ALL	71210198	71337964	0.00220078
ALL	71210198	71338220	0.00220078
ALL	71210198	71338575	0.00220078
ALL	71210198	71338699	0.00220078
ALL	71210198	71338723	0.00220078
ALL	71210198	71338887	0.00220078
ALL	71210198	71339181	0.00220078
ALL	71210198	71339362	0.00220078
ALL	71210198	71339363	0.00220078
ALL	71210198	71340686	0.00220078
ALL	71210198	71340693	0.00220078
ALL	71210198	71341033	0.00220078
ALL	71210198	71341779	0.00220078
ALL	71210198	71341807	0.00220078
ALL	71210198	71341817	0.00140164
ALL	71210198	71341824	0.00220078
ALL	71210198	71342015	0.00220078
ALL	71210198	71342387	0.00220078
ALL	71210198	71342517	0.00220078
ALL	71210198	71343160	0.00259817
ALL	71210198	71343178	0.00259817
ALL	71210198	71343313	0.00259817
ALL	71210198	71343365	0.0730547
ALL	71210198	71343544	0.00259817
ALL	71210198	71344199	0.00289762
ALL	71210198	71344315	0.00253503
ALL	71210198	71344338	0.00317124
ALL	71210198	71345502	0.00289762
ALL	71210198	71345652	0.00289762
ALL	71210198	71345730	0.00289762
ALL	71210198	71345828	0.00289762
ALL	71210198	71345869	0.00289762
ALL	71210198	71345904	0.00289762
ALL	71210198	71346012	0.00289762
ALL	71210198	71346336	0.0724697
ALL	71210198	71346542	0.00289762
ALL	71210198	71346966	0.00327405
ALL	71210198	71346987	0.00327405
ALL	71210198	71347346	0.00289762
ALL	71210198	71347353	0.00289762
ALL	71210198	71347577	0.00289762
ALL	71210198	71347608	0.00289762
ALL	71210198	71347660	0.00289762
ALL	71210198	71348157	0.00289762
ALL	71210321	71337964	0.00198599
ALL	71210321	71338220	0.00198599
ALL	71210321	71338575	0.00198599
ALL	71210321	71338699	0.00198599
ALL	71210321	71338723	0.00198599
ALL	71210321	71338887	0.00198599
ALL	71210321	71339181	0.00198599
ALL	71210321	71339362	0.00198599
ALL	71210321	71339363	0.00198599
ALL	71210321	71340686	0.00198599
ALL	71210321	71340693	0.00198599
ALL	71210321	71341033	0.00198599
ALL	71210321	71341779	0.00198599
ALL	71210321	71341807	0.00198599
ALL	71210321	71341817	0.00120618
ALL	71210321	71341824	0.00198599
ALL	71210321	71342015	0.00198599
ALL	71210321	71342387	0.00198599
ALL	71210321	71342517	0.00198599
ALL	71210321	71343160	0.00235738
ALL	71210321	71343178	0.00235738
ALL	71210321	71343313	0.00235738
ALL	71210321	71343365	0.0727112
ALL	71210321	71343544	0.00235738
ALL	71210321	71344199	0.00264583
ALL	71210321	71344315	0.00230201
ALL	71210321	71344338	0.0029131
ALL	71210321	71345502	0.00264583
ALL	71210321	71345652	0.00264583
ALL	71210321	71345730	0.00264583
ALL	71210321	71345828	0.00264583
ALL	71210321	71345869	0.00264583
ALL	71210321	71345904	0.00264583
ALL	71210321	71346012	0.00264583
ALL	71210321	71346336	0.072129
ALL	71210321	71346542	0.00264583
ALL	71210321	71346966	0.00298603
ALL	71210321	71346987	0.00298603
ALL	71210321	71347346	0.00264583
ALL	71210321	71347353	0.00264583
ALL	71210321	71347577	0.00264583
ALL	71210321	71347608	0.00264583
ALL	71210321	71347660	0.00264583
ALL	71210321	71348157	0.00264583
ALL	71210336	71337964	0.00198599
ALL	71210336	71338220	0.00198599
ALL	71210336	71338575	0.00198599
ALL	71210336	71338699	0.00198599
ALL	71210336	71338723	0.00198599
ALL	71210336	71338887	0.00198599
ALL	71210336	71339181	0.00198599
ALL	71210336	71339362	0.00198599
ALL	71210336	71339363	0.00198599
ALL	71210336	71340686	0.00198599
ALL	71210336	71340693	0.00198599
ALL	71210336	71341033	0.00198599
ALL	71210336	71341779	0.00198599
ALL	71210336	71341807	0.00198599
ALL	71210336	71341817	0.00120618
ALL	71210336	71341824	0.00198599
ALL	71210336	71342015	0.00198599
ALL	71210336	71342387	0.00198599
ALL	71210336	71342517	0.00198599
ALL	71210336	71343160	0.00235738
ALL	71210336	71343178	0.00235738
ALL	71210336	71343313	0.00235738
ALL	71210336	71343365	0.0727112
ALL	71210336	71343544	0.00235738
ALL	71210336	71344199	0.00264583
ALL	71210336	71344315	0.00230201
ALL	71210336	71344338	0.0029131
ALL	71210336	71345502	0.00264583
ALL	71210336	71345652	0.00264583
ALL	71210336	71345730	0.00264583
ALL	71210336	71345828	0.00264583
ALL	71210336	71345869	0.00264583
ALL	71210336	71345904	0.00264583
ALL	71210336	71346012	0.00264583
ALL	71210336	71346336	0.072129
ALL	71210336	71346542	0.00264583
ALL	71210336	71346966	0.00298603
ALL	71210336	71346987	0.00298603
ALL	71210336	71347346	0.00264583
ALL	71210336	71347353	0.00264583
ALL	71210336	71347577	0.00264583
ALL	71210336	71347608	0.00264583
ALL	71210336	71347660	0.00264583
ALL	71210336	71348157	0.00264583
ALL	71210970	71337964	0.00204556
ALL	71210970	71338220	0.00204556
ALL	71210970	71338575	0.00204556
ALL	71210970	71338699	0.00204556
ALL	71210970	71338723	0.00204556
ALL	71210970	71338887	0.00204556
ALL	71210970	71339181	0.00204556
ALL	71210970	71339362	0.00204556
ALL	71210970	71339363	0.00204556
ALL	71210970	71340686	0.00204556
ALL	71210970	71340693	0.00204556
ALL	71210970	71341033	0.00204556
ALL	71210970	71341779	0.00204556
ALL	71210970	71341807	0.00204556
ALL	71210970	71341817	0.00124638
ALL	71210970	71341824	0.00204556
ALL	71210970	71342015	0.00204556
ALL	71210970	71342387	0.00204556
ALL	71210970	71342517	0.00204556
ALL	71210970	71343160	0.00242289
ALL	71210970	71343178	0.00242289
ALL	71210970	71343313	0.00242289
ALL	71210970	71343365	0.0726304
ALL	71210970	71343544	0.00242289
ALL	71210970	71344199	0.00271687
ALL	71210970	71344315	0.0023672
ALL	71210970	71344338	0.00298958
ALL	71210970	71345502	0.00271687
ALL	71210970	71345652	0.00271687
ALL	71210970	71345730	0.00271687
ALL	71210970	71345828	0.00271687
ALL	71210970	71345869	0.00271687
ALL	71210970	71345904	0.00271687
ALL	71210970	71346012	0.00271687
ALL	71210970	71346336	0.0720469
ALL	71210970	71346542	0.00271687
ALL	71210970	71346966	0.003064
ALL	71210970	71346987	0.003064
ALL	71210970	71347346	0.00271687
ALL	71210970	71347353	0.00271687
ALL	71210970	71347577	0.00271687
ALL	71210970	71347608	0.00271687
ALL	71210970	71347660	0.00271687
ALL	71210970	71348157	0.00271687
ALL	71386175	71337964	0.00708716
ALL	71386175	71338220	0.00708716
ALL	71386175	71338575	0.00708716
ALL	71386175	71338699	0.00708716
ALL	71386175	71338723	0.00708716
ALL	71386175	71338887	0.00708716
ALL	71386175	71339181	0.00708716
ALL	71386175	71339362	0.00708716
ALL	71386175	71339363	0.00708716
ALL	71386175	71340686	0.00708716
ALL	71386175	71340693	0.00708716
ALL	71386175	71341033	0.00708716
ALL	71386175	71341779	0.00708716
ALL	71386175	71341807	0.00708716
ALL	71386175	71341817	0.0053855
ALL	71386175	71341824	0.00708716
ALL	71386175	71342015	0.00708716
ALL	71386175	71342387	0.00708716
ALL	71386175	71342517	0.00708716
ALL	71386175	71343160	0.00784332
ALL	71386175	71343178	0.00784332
ALL	71386175	71343313	0.00784332
ALL	71386175	71343365	0.0729699
ALL	71386175	71343544	0.00784332
ALL	71386175	71344199	0.00758326
ALL	71386175	71344315	0.00789281
ALL	71386175	71344338	0.00763604
ALL	71386175	71345502	0.00758326
ALL	71386175	71345652	0.00758326
ALL	71386175	71345730	0.00758326
ALL	71386175	71345828	0.00758326
ALL	71386175	71345869	0.00758326
ALL	71386175	71345904	0.00758326
ALL	71386175	71346012	0.00758326
ALL	71386175	71346336	0.0732517
ALL	71386175	71346542	0.00758326
ALL	71386175	71346966	0.00726233
ALL	71386175	71346987	0.00726233
ALL	71386175	71347346	0.00758326
ALL	71386175	71347353	0.00758326
ALL	71386175	71347577	0.00758326
ALL	71386175	71347608	0.00758326
ALL	71386175	71347660	0.00758326
ALL	71386175	71348157	0.00758326
